ingredient_code,ingredient_name,category,meal_occurrences,distinct_days,total_base_quantity,base_unit
sogliola,sogliola,Pesce,6,6,1080.0,g
fave,fave cotte,Legumi e conserve,6,6,495.0,g
noodles_riso,spaghetti di riso secchi,"Cereali, pane e derivati",6,6,330.0,g
rapa,rape,Ortofrutta,6,6,900.0,g
pomodoro,pomodori,Ortofrutta,5,5,850.0,g
lattuga,lattuga,Ortofrutta,5,5,900.0,g
branzino,branzino,Pesce,5,5,780.0,g
robiola,robiola,Latticini e uova,5,5,175.0,g
porro,porro,Ortofrutta,5,5,500.0,g
fagiolini,fagiolini,Ortofrutta,4,4,560.0,g
fico,fichi freschi,Ortofrutta,4,4,470.0,g
sesamo,semi di sesamo,Frutta secca e semi,4,4,12.0,g
latte_cocco_light,latte di cocco light,Condimenti e dispensa,3,3,150.0,ml
grano_saraceno,grano saraceno secco,"Cereali, pane e derivati",3,3,180.0,g
prugna,prugne fresche,Ortofrutta,3,3,420.0,g
pasta_integrale,pasta integrale secca,"Cereali, pane e derivati",3,3,180.0,g
verza,verza,Ortofrutta,3,3,450.0,g
piadina,piadina classica,"Cereali, pane e derivati",3,3,105.0,g
sedano_rapa,sedano rapa,Ortofrutta,3,3,450.0,g
melanzana,melanzane,Ortofrutta,2,2,300.0,g
farina00,farina di frumento 00,"Cereali, pane e derivati",2,2,90.0,g
calamaro,calamaro,Pesce,1,1,110.0,g
cetriolo,cetriolo senza buccia e semi,Ortofrutta,1,1,80.0,g
prosciutto_cotto,prosciutto cotto sgrassato,Carne e affettati,1,1,75.0,g
couscous_integrale,couscous integrale secco,"Cereali, pane e derivati",1,1,60.0,g
