start_global_day,end_global_day,start_month,end_month,egg_equivalent_units,egg_limit,dairy_meals,dairy_limit,pasta_rice_primary_meals,pasta_primary_meals,rice_primary_meals,pasta_rice_min,plant_protein_main_meals,plant_protein_min,hard_ok,hard_failures,protein_concentration_warnings,ingredient_concentration_warnings,pasta_rice_balance_warnings
33,39,Ottobre,Ottobre,4.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
34,40,Ottobre,Ottobre,4.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
35,41,Ottobre,Ottobre,2.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
36,42,Ottobre,Ottobre,2.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
37,43,Ottobre,Ottobre,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
38,44,Ottobre,Ottobre,0.0,6.0,1,4,7,3,4,5,3,3,yes,[],[],[],[]
39,45,Ottobre,Ottobre,1.6,6.0,1,4,7,3,4,5,3,3,yes,[],[],[],[]
40,46,Ottobre,Ottobre,1.6,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
41,47,Ottobre,Ottobre,1.6,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
42,48,Ottobre,Ottobre,1.6,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
43,49,Ottobre,Ottobre,1.6,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
44,50,Ottobre,Ottobre,1.6,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
45,51,Ottobre,Ottobre,1.6,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
46,52,Ottobre,Ottobre,0.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
47,53,Ottobre,Ottobre,0.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
48,54,Ottobre,Ottobre,0.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
49,55,Ottobre,Ottobre,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
50,56,Ottobre,Ottobre,1.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
51,57,Ottobre,Ottobre,1.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
52,58,Ottobre,Ottobre,1.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
53,59,Ottobre,Ottobre,1.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
54,60,Ottobre,Ottobre,1.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
55,61,Ottobre,Novembre,1.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
56,62,Ottobre,Novembre,1.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
57,63,Ottobre,Novembre,1.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
58,64,Ottobre,Novembre,1.6,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
59,65,Ottobre,Novembre,2.6,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
60,66,Ottobre,Novembre,2.6,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
61,67,Novembre,Novembre,4.2,6.0,2,4,5,2,3,5,3,3,yes,[],[],[],[]
62,68,Novembre,Novembre,4.2,6.0,2,4,5,2,3,5,3,3,yes,[],[],[],[]
63,69,Novembre,Novembre,4.2,6.0,2,4,5,2,3,5,3,3,yes,[],[],[],[]
64,70,Novembre,Novembre,4.2,6.0,2,4,5,2,3,5,3,3,yes,[],[],[],[]
65,71,Novembre,Novembre,4.2,6.0,1,4,5,2,3,5,3,3,yes,[],[],[],[]
66,72,Novembre,Novembre,5.2,6.0,1,4,5,2,3,5,3,3,yes,[],[],[],[]
67,73,Novembre,Novembre,5.2,6.0,0,4,5,2,3,5,3,3,yes,[],[],[],[]
68,74,Novembre,Novembre,3.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
69,75,Novembre,Novembre,3.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
70,76,Novembre,Novembre,3.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
71,77,Novembre,Novembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
72,78,Novembre,Novembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
73,79,Novembre,Novembre,0.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
74,80,Novembre,Novembre,0.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
75,81,Novembre,Novembre,0.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
76,82,Novembre,Novembre,0.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
77,83,Novembre,Novembre,0.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
78,84,Novembre,Novembre,1.0,6.0,3,4,6,3,3,5,3,3,yes,[],[],[],[]
79,85,Novembre,Novembre,1.0,6.0,3,4,6,3,3,5,3,3,yes,[],[],[],[]
80,86,Novembre,Novembre,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
81,87,Novembre,Novembre,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
82,88,Novembre,Novembre,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
83,89,Novembre,Novembre,1.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
84,90,Novembre,Novembre,1.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
85,91,Novembre,Dicembre,0.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
86,92,Novembre,Dicembre,0.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
87,93,Novembre,Dicembre,0.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
88,94,Novembre,Dicembre,1.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
89,95,Novembre,Dicembre,1.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
90,96,Novembre,Dicembre,1.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
91,97,Dicembre,Dicembre,1.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
92,98,Dicembre,Dicembre,1.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
93,99,Dicembre,Dicembre,1.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
94,100,Dicembre,Dicembre,1.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
95,101,Dicembre,Dicembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
96,102,Dicembre,Dicembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
97,103,Dicembre,Dicembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
98,104,Dicembre,Dicembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
99,105,Dicembre,Dicembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
100,106,Dicembre,Dicembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
101,107,Dicembre,Dicembre,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
102,108,Dicembre,Dicembre,0.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
103,109,Dicembre,Dicembre,0.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
104,110,Dicembre,Dicembre,0.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
105,111,Dicembre,Dicembre,0.0,6.0,1,4,7,3,4,5,3,3,yes,[],[],[],[]
106,112,Dicembre,Dicembre,0.0,6.0,1,4,7,3,4,5,3,3,yes,[],[],[],[]
107,113,Dicembre,Dicembre,0.0,6.0,1,4,7,3,4,5,3,3,yes,[],[],[],[]
108,114,Dicembre,Dicembre,0.0,6.0,2,4,7,3,4,5,3,3,yes,[],[],[],[]
109,115,Dicembre,Dicembre,1.0,6.0,2,4,7,3,4,5,3,3,yes,[],[],[],[]
110,116,Dicembre,Dicembre,1.0,6.0,3,4,7,3,4,5,3,3,yes,[],[],[],[]
111,117,Dicembre,Dicembre,1.0,6.0,2,4,7,3,4,5,3,3,yes,[],[],[],[]
112,118,Dicembre,Dicembre,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
113,119,Dicembre,Dicembre,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
114,120,Dicembre,Dicembre,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
115,121,Dicembre,Gennaio,1.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
116,122,Dicembre,Gennaio,0.0,6.0,1,4,7,3,4,5,3,3,yes,[],[],[],[]
117,123,Dicembre,Gennaio,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
118,124,Dicembre,Gennaio,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
119,125,Dicembre,Gennaio,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
120,126,Dicembre,Gennaio,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
121,127,Gennaio,Gennaio,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
122,128,Gennaio,Gennaio,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
123,129,Gennaio,Gennaio,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
124,130,Gennaio,Gennaio,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
125,131,Gennaio,Gennaio,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
126,132,Gennaio,Gennaio,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
127,133,Gennaio,Gennaio,3.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
128,134,Gennaio,Gennaio,3.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
129,135,Gennaio,Gennaio,3.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
130,136,Gennaio,Gennaio,1.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
131,137,Gennaio,Gennaio,2.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
132,138,Gennaio,Gennaio,2.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
133,139,Gennaio,Gennaio,2.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
134,140,Gennaio,Gennaio,1.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
135,141,Gennaio,Gennaio,1.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
136,142,Gennaio,Gennaio,1.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
137,143,Gennaio,Gennaio,1.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
138,144,Gennaio,Gennaio,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
139,145,Gennaio,Gennaio,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
140,146,Gennaio,Gennaio,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
141,147,Gennaio,Gennaio,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
142,148,Gennaio,Gennaio,0.0,6.0,0,4,7,3,4,5,3,3,yes,[],[],[],[]
143,149,Gennaio,Gennaio,1.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
144,150,Gennaio,Gennaio,1.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
145,151,Gennaio,Febbraio,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
146,152,Gennaio,Febbraio,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
147,153,Gennaio,Febbraio,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
148,154,Gennaio,Febbraio,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
149,155,Gennaio,Febbraio,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
150,156,Gennaio,Febbraio,0.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
151,157,Febbraio,Febbraio,0.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
152,158,Febbraio,Febbraio,0.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
153,159,Febbraio,Febbraio,1.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
154,160,Febbraio,Febbraio,1.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
155,161,Febbraio,Febbraio,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
156,162,Febbraio,Febbraio,1.0,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
157,163,Febbraio,Febbraio,2.6,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
158,164,Febbraio,Febbraio,2.6,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
159,165,Febbraio,Febbraio,2.6,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
160,166,Febbraio,Febbraio,3.6,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
161,167,Febbraio,Febbraio,3.6,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
162,168,Febbraio,Febbraio,3.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
163,169,Febbraio,Febbraio,3.6,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
164,170,Febbraio,Febbraio,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
165,171,Febbraio,Febbraio,2.0,6.0,0,4,6,3,3,5,3,3,yes,[],[],[],[]
166,172,Febbraio,Febbraio,2.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
167,173,Febbraio,Febbraio,0.0,6.0,1,4,6,3,3,5,3,3,yes,[],[],[],[]
168,174,Febbraio,Febbraio,1.6,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
169,175,Febbraio,Febbraio,1.6,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
170,176,Febbraio,Febbraio,1.6,6.0,3,4,6,3,3,5,3,3,yes,[],[],[],[]
171,177,Febbraio,Febbraio,1.6,6.0,3,4,6,3,3,5,3,3,yes,[],[],[],[]
172,178,Febbraio,Febbraio,1.6,6.0,3,4,6,3,3,5,3,3,yes,[],[],[],[]
173,179,Febbraio,Febbraio,1.6,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
174,180,Febbraio,Febbraio,1.6,6.0,2,4,6,3,3,5,3,3,yes,[],[],[],[]
