title,role,meal_types,ingredients,season_months,kcal,protein_g,fiber_g,curated_occurrences
Riso con cozze e barbabietola,main_other,Pranzo | Cena | Pasto preturno,riso_basmati 70g | cozze 180g | barbabietola 150g | olio 7g,"9,10,11,12,1,2",530.4,29.6,5.2,1
Orzo con maiale e cavoletti,main_other,Pranzo | Cena | Pasto preturno,orzo 65g | maiale_filetto 130g | cavoletti 140g | olio 7g,"10,11,12,1,2",538.1,41.2,11.2,2
"Brunch con gnocchi, maiale e cavoletti",curation_brunch,Brunch | Cena,gnocchi 240g | maiale_filetto 150g | cavoletti 150g | olio 10g,"10,11,12,1,2",727.4,46.5,10.5,4
"Brunch con farro, coniglio e barbabietola",curation_brunch,Brunch | Cena,farro 100g | coniglio 150g | barbabietola 150g | olio 10g,"9,10,11,12,1,2",696.9,48.9,11.2,1
"Brunch con couscous, sardine e indivia",curation_brunch,Brunch | Cena,couscous 95g | sardine 120g | indivia 150g | olio 10g,"10,11,12,1,2",705.5,43.4,7.5,2
"Brunch con polenta, manzo e cicoria",curation_brunch,Brunch | Cena,polenta 100g | manzo_magro 150g | cicoria 150g | olio 10g,"10,11,12,1,2",707.9,43.5,9.5,1
"Brunch con orzo, cozze e barbabietola",curation_brunch,Brunch | Cena,orzo 85g | cozze 250g | barbabietola 120g | olio 10g,"9,10,11,12,1,2",655.9,42.1,11.0,2
"Brunch con riso, polpo e cavolo cappuccio",curation_brunch,Brunch | Cena,riso_basmati 100g | polpo 200g | cavolo_cappuccio 180g | olio 10g,"10,11,12,1,2",653.4,40.3,6.0,0
Pasta con cozze e cicoria,pasta_animal,Pranzo | Cena | Pasto preturno,pasta 65g | cozze 180g | cicoria 120g | olio 7g,"10,11,12,1,2",473.7,31.8,6.8,0
Pasta con polpo e cavolo cappuccio,pasta_animal,Pranzo | Cena | Pasto preturno,pasta 65g | polpo 170g | cavolo_cappuccio 150g | olio 7g,"10,11,12,1,2",468.2,35.6,5.7,2
Riso jasmine con polpo e barbabietola,main_other,Pranzo | Cena | Pasto preturno,riso_jasmine 65g | polpo 170g | barbabietola 150g | olio 7g,"9,10,11,12,1,2",497.2,32.8,4.8,2
Riso basmati con cozze e indivia,main_other,Pranzo | Cena | Pasto preturno,riso_basmati 70g | cozze 180g | indivia 150g | olio 7g,"9,10,11,12,1,2",491.4,29.1,5.7,0
Kefir con castagne e melagrana,breakfast_snack,Colazione | Spuntino | Spuntino notturno,kefir 170g | castagna 70g | melagrana 70g,"10,11,12,1",291.6,9.2,6.3,2
"Latte, avena, castagne e melagrana",breakfast_snack,Colazione,latte_ps 220g | avena 45g | castagna 50g | melagrana 60g,"10,11,12,1",426.1,17.4,9.7,2
"Latte, corn flakes, kiwi e semi di zucca",breakfast_snack,Colazione,latte_ps 220g | cornflakes 45g | kiwi 120g | semi_zucca 10g,"11,12,1,2",390.9,14.7,5.5,1
"Kefir, avena, castagne e mandarino",breakfast_snack,Colazione,kefir 180g | avena 40g | castagna 50g | mandarino 120g,"11,12,1,2",418.2,15.5,8.9,2
"Yogurt, avena, cachi e semi di zucca",breakfast_snack,Colazione,yogurt_bianco 170g | avena 40g | cachi 120g | semi_zucca 10g,"10,11,12",402.6,17.3,9.2,0
"Pane di segale, tonno e patata dolce",savory_snack,Colazione | Pasto preturno,pane_segale 60g | tonno_naturale 80g | patata_dolce 120g | olio 5g,"9,10,11,12,1,2",395.6,27.8,7.1,5
"Cena completa con polenta, coniglio e barbabietola",curation_brunch,Cena | Brunch,polenta 110g | coniglio 150g | barbabietola 150g | olio 12g,"9,10,11,12,1,2",770.6,42.7,8.1,1
"Latte, corn flakes e melagrana",breakfast_snack,Colazione,latte_ps 220g | cornflakes 50g | melagrana 80g,"9,10,11,12,1",346.1,12.1,4.7,1
"Kefir, avena, uva e semi di zucca",breakfast_snack,Colazione,kefir 180g | avena 40g | uva 120g | semi_zucca 10g,"9,10",393.3,16.9,5.9,4
"Yogurt, corn flakes, melagrana e semi di zucca",breakfast_snack,Colazione,yogurt_bianco 170g | cornflakes 45g | melagrana 80g | semi_zucca 8g,"9,10,11,12,1",378.9,13.7,5.0,1
"Latte, semolino, prugne e semi di zucca",breakfast_snack,Colazione,latte_ps 220g | semolino 50g | prugna 150g | semi_zucca 8g,9,394.9,16.7,4.4,2
"Kefir, avena, fichi e nocciole",breakfast_snack,Colazione,kefir 180g | avena 40g | fico 150g | nocciole 8g,9,415.8,15.5,9.4,1
"Latte, avena, kiwi e semi di zucca",breakfast_snack,Colazione,latte_ps 220g | avena 45g | kiwi 120g | semi_zucca 10g,"11,12,1,2",405.4,19.2,9.0,1
"Yogurt, avena, kiwi e castagne",breakfast_snack,Colazione,yogurt_bianco 170g | avena 40g | kiwi 120g | castagna 40g,"11,12,1,2",415.9,16.1,9.8,1
"Semolino con castagne, melagrana e semi di zucca",breakfast_snack,Colazione,semolino 60g | castagna 50g | melagrana 70g | semi_zucca 8g,"10,11,12,1",418.8,12.3,7.9,3
Crackers con lupini,savory_snack,Spuntino | Spuntino notturno | Mini-pasto pre-sonno,crackers 25g | lupini 55g,"9,10,11,12,1,2",172.9,10.8,2.3,4
Pane di segale con lupini e radicchio,savory_snack,Spuntino | Mini-pasto pre-sonno,pane_segale 35g | lupini 60g | radicchio 60g,"10,11,12,1,2",175.8,13.2,4.2,2
Mini tortilla con lupini e indivia,savory_snack,Spuntino | Mini-pasto pre-sonno,tortilla 40g | lupini 55g | indivia 60g,"9,10,11,12,1,2",199.7,12.6,4.6,8
"Mais, cannellini e crackers",savory_snack,Spuntino | Spuntino notturno,mais 70g | cannellini 60g | crackers 10g,"9,10,11,12,1,2",179.4,8.5,6.0,8
Crackers con borlotti,savory_snack,Spuntino | Spuntino notturno,crackers 25g | borlotti 60g,"9,10,11,12,1,2",183.7,7.7,4.3,6
Patata dolce e kefir,breakfast_snack,Spuntino | Spuntino notturno | Mini-pasto pre-sonno,patata_dolce 120g | kefir 100g,"9,10,11,12,1,2",158.2,5.4,3.6,5
Pane di segale con sgombro e radicchio,savory_snack,Spuntino | Mini-pasto pre-sonno,pane_segale 35g | sgombro 50g | radicchio 60g,"10,11,12,1,2",206.9,13.3,2.6,6
Crackers con sardine,savory_snack,Spuntino | Spuntino notturno | Mini-pasto pre-sonno,crackers 20g | sardine 50g,"9,10,11,12,1,2",190.0,14.3,0.6,8
Yogurt e castagne,breakfast_snack,Spuntino | Spuntino notturno,yogurt_bianco 125g | castagna 50g,"10,11,12,1,2",178.8,6.5,2.5,2
Kefir e corn flakes in porzione piccola,breakfast_snack,Spuntino | Spuntino notturno,kefir 120g | cornflakes 25g,"9,10,11,12,1,2",155.2,6.0,0.8,3
Pasta con maiale e cavolo cappuccio,pasta_animal,Pranzo | Cena | Pasto preturno,pasta 65g | maiale_filetto 130g | cavolo_cappuccio 150g | olio 7g,"10,11,12,1,2",514.7,38.7,5.7,0
Riso con coniglio e rape,main_other,Pranzo | Cena | Pasto preturno,riso_basmati 70g | coniglio 130g | rapa 150g | olio 7g,"10,11,12,1,2",529.9,34.2,3.8,1
Pasta con trota e finocchi,pasta_animal,Pranzo | Cena | Pasto preturno,pasta 65g | trota 120g | finocchio 140g | olio 7g,"10,11,12,1,2",512.3,34.4,6.3,2
Riso con sgombro e barbabietola,main_other,Pranzo | Cena | Pasto preturno,riso_jasmine 65g | sgombro 90g | barbabietola 150g | olio 7g,"9,10,11,12,1,2",542.3,24.4,4.8,0
Polenta con coniglio e cavoletti,main_other,Pranzo | Cena | Pasto preturno,polenta 65g | coniglio 130g | cavoletti 120g | olio 7g,"10,11,12,1,2",524.3,36.6,6.8,0
Gnocchi con maiale e cicoria,main_other,Pranzo | Cena | Pasto preturno,gnocchi 180g | maiale_filetto 120g | cicoria 100g | olio 7g,"10,11,12,1,2",526.5,34.4,7.6,4
Pasta e fave con cavolo nero,plant_pasta,Pranzo | Cena | Pasto preturno,pasta 65g | fave 85g | cavolo_nero 120g | olio 7g,"10,11,12,1,2",443.6,19.7,10.9,2
Polenta con fave e bietole,plant_other,Pranzo | Cena | Pasto preturno,polenta 65g | fave 90g | bietola 120g | olio 8g,"10,11,12,1,2",426.5,14.2,9.1,0
