role,title,recipe_id,version_id,meal_types,primary_protein,primary_carb,plant_protein_main,egg_equivalent,cheese_dairy,energy_kcal,protein_g,fiber_g,declared_season_months,derived_safe_months,season_declaration_valid,ingredient_codes
main_other,Polenta con merluzzo e cavolo nero,base:recipe:v6-polenta-con-merluzzo-e-cavolo-nero,base:recipe-version:v6-polenta-con-merluzzo-e-cavolo-nero:3155bb1fe698b930,Pranzo | Cena | Pasto preturno,fish,other_grains,False,0.0,False,467.8,33.2,7.7,"1,2,10,11,12","1,2,10,11,12",True,cavolo_nero | merluzzo | olio | polenta
pasta_animal,Pasta al ragù leggero di manzo,base:recipe:v6-pasta-al-ragu-leggero-di-manzo,base:recipe-version:v6-pasta-al-ragu-leggero-di-manzo:8ccd58ff43dcb868,Pranzo | Cena | Pasto preturno,red_meat,pasta,False,0.0,False,501.1,31.1,6.1,"1,2,9,10,11,12","1,2,9,10,11,12",True,carota | manzo_magro | olio | passata | pasta
pasta_animal,Pasta con branzino e zucchine,base:recipe:v6-pasta-con-branzino-e-zucchine,base:recipe-version:v6-pasta-con-branzino-e-zucchine:4d2f780150b38086,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,424.3,28.7,3.7,"9,10","9,10",True,branzino | olio | pasta | zucchina
pasta_animal,Pasta con calamari e pomodoro,base:recipe:v6-pasta-con-calamari-e-pomodoro,base:recipe-version:v6-pasta-con-calamari-e-pomodoro:776c1b90947dc181,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,439.0,27.8,4.0,"9,10","9,10",True,calamaro | olio | pasta | pomodoro
pasta_animal,Pasta con cozze e passata,base:recipe:v6-pasta-con-cozze-e-passata,base:recipe-version:v6-pasta-con-cozze-e-passata:da3072c9cbc57409,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,462.8,26.1,3.9,"1,2,9,10,11,12","1,2,9,10,11,12",True,cozze | olio | passata | pasta
pasta_animal,Pasta con gamberi e carciofi,base:recipe:v6-pasta-con-gamberi-e-carciofi,base:recipe-version:v6-pasta-con-gamberi-e-carciofi:f45aea6899f58243,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,478.5,37.7,10.2,"1,2,11,12","1,2,11,12",True,carciofo | gamberi | olio | pasta
pasta_animal,Pasta con gamberi e zucchine,base:recipe:v6-pasta-con-gamberi-e-zucchine,base:recipe-version:v6-pasta-con-gamberi-e-zucchine:dd40348d582dc3cf,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,435.2,34.7,3.7,"9,10","9,10",True,gamberi | olio | pasta | zucchina
pasta_animal,Pasta con merluzzo e porro,base:recipe:v6-pasta-con-merluzzo-e-porro,base:recipe-version:v6-pasta-con-merluzzo-e-porro:8974176c87f65731,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,460.2,30.1,3.9,"1,2,10,11,12","1,2,10,11,12",True,merluzzo | olio | pasta | porro
pasta_animal,Pasta con nasello e zucca,base:recipe:v6-pasta-con-nasello-e-zucca,base:recipe-version:v6-pasta-con-nasello-e-zucca:7bc29a7e5814c184,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,447.8,31.4,3.0,"1,2,9,10,11,12","1,2,9,10,11,12",True,nasello | olio | pasta | zucca
pasta_animal,Pasta con pollo e broccoli,base:recipe:v6-pasta-con-pollo-e-broccoli,base:recipe-version:v6-pasta-con-pollo-e-broccoli:de3fc0b129ecc413,Pranzo | Cena | Pasto preturno,poultry,pasta,False,0.0,False,470.0,36.0,6.0,"1,2,10,11,12","1,2,10,11,12",True,broccoli | olio | pasta | pollo
pasta_animal,Pasta con pollo e radicchio,base:recipe:v6-pasta-con-pollo-e-radicchio,base:recipe-version:v6-pasta-con-pollo-e-radicchio:9033e2196f9502d9,Pranzo | Cena | Pasto preturno,poultry,pasta,False,0.0,False,453.5,33.9,3.5,"1,2,10,11,12","1,2,10,11,12",True,olio | pasta | pollo | radicchio
pasta_animal,Pasta con pollo e zucca,base:recipe:v6-pasta-con-pollo-e-zucca,base:recipe-version:v6-pasta-con-pollo-e-zucca:d4acaa9dc2d6eec5,Pranzo | Cena | Pasto preturno,poultry,pasta,False,0.0,False,463.2,33.5,3.0,"1,2,9,10,11,12","1,2,9,10,11,12",True,olio | pasta | pollo | zucca
pasta_animal,Pasta con salmone e porro,base:recipe:v6-pasta-con-salmone-e-porro,base:recipe-version:v6-pasta-con-salmone-e-porro:5793a4d6fe797246,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,502.6,26.6,3.8,"1,2,10,11,12","1,2,10,11,12",True,olio | pasta | porro | salmone
pasta_animal,Pasta con sardine e broccoli,base:recipe:v6-pasta-con-sardine-e-broccoli,base:recipe-version:v6-pasta-con-sardine-e-broccoli:c174b31ea11d846f,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,491.1,32.3,5.8,"1,2,10,11,12","1,2,10,11,12",True,broccoli | olio | pasta | sardine
pasta_animal,Pasta con sgombro e cavolo cappuccio,base:recipe:v6-pasta-con-sgombro-e-cavolo-cappuccio,base:recipe-version:v6-pasta-con-sgombro-e-cavolo-cappuccio:eff554c976679eb2,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,475.1,25.3,5.7,"1,2,10,11,12","1,2,10,11,12",True,cavolo_cappuccio | olio | pasta | sgombro
pasta_animal,Pasta con tacchino e carciofi,base:recipe:v6-pasta-con-tacchino-e-carciofi,base:recipe-version:v6-pasta-con-tacchino-e-carciofi:542f4cbf7170b7e9,Pranzo | Cena | Pasto preturno,poultry,pasta,False,0.0,False,489.5,37.7,10.2,"1,2,11,12","1,2,11,12",True,carciofo | olio | pasta | tacchino
pasta_animal,Pasta con tacchino e funghi,base:recipe:v6-pasta-con-tacchino-e-funghi,base:recipe-version:v6-pasta-con-tacchino-e-funghi:4d168b1338ddc83d,Pranzo | Cena | Pasto preturno,poultry,pasta,False,0.0,False,452.0,37.4,3.6,"9,10,11","9,10,11",True,funghi | olio | pasta | tacchino
pasta_animal,Pasta con tacchino e spinaci,base:recipe:v6-pasta-con-tacchino-e-spinaci,base:recipe-version:v6-pasta-con-tacchino-e-spinaci:77943eaf3219f1fc,Pranzo | Cena | Pasto preturno,poultry,pasta,False,0.0,False,453.5,37.1,5.4,"1,2,9,10,11,12","1,2,9,10,11,12",True,olio | pasta | spinaci | tacchino
pasta_animal,Pasta con tonno e broccoli,base:recipe:v6-pasta-con-tonno-e-broccoli,base:recipe-version:v6-pasta-con-tonno-e-broccoli:dd261be4e72f12f6,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,464.4,36.4,6.0,"1,2,10,11,12","1,2,10,11,12",True,broccoli | olio | pasta | tonno_naturale
pasta_animal,"Pasta con tonno, passata e finocchi",base:recipe:v6-pasta-con-tonno-passata-e-finocchi,base:recipe-version:v6-pasta-con-tonno-passata-e-finocchi:8dfcc934ae7d2be9,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,479.8,35.2,7.6,"1,2,10,11,12","1,2,10,11,12",True,finocchio | olio | passata | pasta | tonno_naturale
pasta_animal,Pasta con trota e spinaci,base:recipe:v6-pasta-con-trota-e-spinaci,base:recipe-version:v6-pasta-con-trota-e-spinaci:311d59fd35a93850,Pranzo | Cena | Pasto preturno,fish,pasta,False,0.0,False,482.6,33.6,5.4,"1,2,9,10,11,12","1,2,9,10,11,12",True,olio | pasta | spinaci | trota
plant_other,Couscous con ceci e zucca,base:recipe:v6-couscous-con-ceci-e-zucca,base:recipe-version:v6-couscous-con-ceci-e-zucca:bab621ed3ccb17ac,Pranzo | Cena | Brunch | Pasto preturno,legumes,other_grains,True,0.0,False,453.3,16.0,8.7,"1,2,9,10,11,12","1,2,9,10,11,12",True,ceci | couscous | olio | zucca
plant_other,Couscous con lenticchie e carote,base:recipe:v6-couscous-con-lenticchie-e-carote,base:recipe-version:v6-couscous-con-lenticchie-e-carote:e98233c14ecb6202,Pranzo | Cena | Brunch | Pasto preturno,legumes,other_grains,True,0.0,False,414.1,15.0,11.2,"1,2,9,10,11,12","1,2,9,10,11,12",True,carota | couscous | lenticchie | olio
plant_other,Farro con borlotti e funghi,base:recipe:v6-farro-con-borlotti-e-funghi,base:recipe-version:v6-farro-con-borlotti-e-funghi:b87abf5b1bd3ab80,Pranzo | Cena | Pasto preturno,legumes,other_grains,True,0.0,False,381.3,19.8,10.1,"9,10,11","9,10,11",True,borlotti | farro | funghi | olio
plant_other,Farro con cannellini e cavolo nero,base:recipe:v6-farro-con-cannellini-e-cavolo-nero,base:recipe-version:v6-farro-con-cannellini-e-cavolo-nero:bb10225227fc2337,Pranzo | Cena | Pasto preturno,legumes,other_grains,True,0.0,False,359.1,17.6,11.6,"1,2,10,11,12","1,2,10,11,12",True,cannellini | cavolo_nero | farro | olio
plant_other,Gnocchi con ragù delicato di lenticchie,base:recipe:v6-gnocchi-con-ragu-delicato-di-lenticchie,base:recipe-version:v6-gnocchi-con-ragu-delicato-di-lenticchie:f940f4562f524a20,Pranzo | Cena | Pasto preturno,legumes,potato,True,0.0,False,420.5,13.9,11.9,"1,2,9,10,11,12","1,2,9,10,11,12",True,carota | gnocchi | lenticchie | olio | passata
plant_other,Orzo con ceci e broccoli,base:recipe:v6-orzo-con-ceci-e-broccoli,base:recipe-version:v6-orzo-con-ceci-e-broccoli:0e25d16728c66ba3,Pranzo | Cena | Pasto preturno,legumes,other_grains,True,0.0,False,369.3,14.3,11.9,"1,2,10,11,12","1,2,10,11,12",True,broccoli | ceci | olio | orzo
plant_other,Orzo con lenticchie e finocchi,base:recipe:v6-orzo-con-lenticchie-e-finocchi,base:recipe-version:v6-orzo-con-lenticchie-e-finocchi:69ac32ac762eea2e,Pranzo | Cena | Pasto preturno,legumes,other_grains,True,0.0,False,338.7,12.4,11.8,"1,2,10,11,12","1,2,10,11,12",True,finocchio | lenticchie | olio | orzo
plant_other,Patate con lenticchie e spinaci,base:recipe:v6-patate-con-lenticchie-e-spinaci,base:recipe-version:v6-patate-con-lenticchie-e-spinaci:fd1f12d70759cf1f,Pranzo | Cena | Brunch | Pasto preturno,legumes,potato,True,0.0,False,332.4,12.7,11.7,"1,2,9,10,11,12","1,2,9,10,11,12",True,lenticchie | olio | patata | spinaci
plant_other,Patate con lupini e carciofi,base:recipe:v6-patate-con-lupini-e-carciofi,base:recipe-version:v6-patate-con-lupini-e-carciofi:ddf868d1c5308085,Pranzo | Cena | Pasto preturno,legumes,potato,True,0.0,False,360.4,18.3,10.8,"1,2,11,12","1,2,11,12",True,carciofo | lupini | olio | patata
plant_other,"Piadina con hummus, lupini e verdure",base:recipe:v6-piadina-con-hummus-lupini-e-verdure,base:recipe-version:v6-piadina-con-hummus-lupini-e-verdure:73afb40df07e6050,Pranzo | Cena | Brunch | Pasto preturno,legumes,bread,True,0.0,False,455.9,19.6,10.5,"1,2,9,10,11,12","1,2,9,10,11,12",True,carota | hummus | lupini | olio | piadina | spinaci
plant_other,Polenta con borlotti e funghi,base:recipe:v6-polenta-con-borlotti-e-funghi,base:recipe-version:v6-polenta-con-borlotti-e-funghi:f57d2cbdc79e7adc,Pranzo | Cena | Pasto preturno,legumes,other_grains,True,0.0,False,414.7,17.0,8.5,"9,10,11","9,10,11",True,borlotti | funghi | olio | polenta
plant_other,Polenta con cannellini e cavolfiore,base:recipe:v6-polenta-con-cannellini-e-cavolfiore,base:recipe-version:v6-polenta-con-cannellini-e-cavolfiore:bc4ef25d23b13a81,Pranzo | Cena | Pasto preturno,legumes,other_grains,True,0.0,False,419.5,14.8,10.4,"1,2,10,11,12","1,2,10,11,12",True,cannellini | cavolfiore | olio | polenta
plant_pasta,Pasta e borlotti con funghi,base:recipe:v6-pasta-e-borlotti-con-funghi,base:recipe-version:v6-pasta-e-borlotti-con-funghi:939d2c259695ddf0,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,425.9,20.0,8.2,"9,10,11","9,10,11",True,borlotti | funghi | olio | pasta
plant_pasta,Pasta e borlotti con verza,base:recipe:v6-pasta-e-borlotti-con-verza,base:recipe-version:v6-pasta-e-borlotti-con-verza:9dcbb7155f5bf733,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,433.4,18.3,11.4,"1,2,10,11,12","1,2,10,11,12",True,borlotti | olio | pasta | verza
plant_pasta,Pasta e cannellini con carciofi,base:recipe:v6-pasta-e-cannellini-con-carciofi,base:recipe-version:v6-pasta-e-cannellini-con-carciofi:1c84aec1e0489802,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,428.9,17.6,11.6,"1,2,11,12","1,2,11,12",True,cannellini | carciofo | olio | pasta
plant_pasta,Pasta e cannellini con cavolfiore,base:recipe:v6-pasta-e-cannellini-con-cavolfiore,base:recipe-version:v6-pasta-e-cannellini-con-cavolfiore:55e427835555bad5,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,432.9,18.1,10.3,"1,2,10,11,12","1,2,10,11,12",True,cannellini | cavolfiore | olio | pasta
plant_pasta,Pasta e cannellini con spinaci,base:recipe:v6-pasta-e-cannellini-con-spinaci,base:recipe-version:v6-pasta-e-cannellini-con-spinaci:e4fd05f4eb3c7075,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,420.5,18.6,9.7,"1,2,9,10,11,12","1,2,9,10,11,12",True,cannellini | olio | pasta | spinaci
plant_pasta,Pasta e ceci con broccoli,base:recipe:v6-pasta-e-ceci-con-broccoli,base:recipe-version:v6-pasta-e-ceci-con-broccoli:83b8f13d2844e188,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,473.5,19.4,11.9,"1,2,10,11,12","1,2,10,11,12",True,broccoli | ceci | olio | pasta
plant_pasta,Pasta e ceci con finocchi,base:recipe:v6-pasta-e-ceci-con-finocchi,base:recipe-version:v6-pasta-e-ceci-con-finocchi:cfa75b0312798ee1,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,451.5,16.2,11.4,"1,2,10,11,12","1,2,10,11,12",True,ceci | finocchio | olio | pasta
plant_pasta,Pasta e ceci con zucca,base:recipe:v6-pasta-e-ceci-con-zucca,base:recipe-version:v6-pasta-e-ceci-con-zucca:04b7f6a9d9589b93,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,464.1,16.8,8.8,"1,2,9,10,11,12","1,2,9,10,11,12",True,ceci | olio | pasta | zucca
plant_pasta,Pasta e fave con carciofi,base:recipe:v6-pasta-e-fave-con-carciofi,base:recipe-version:v6-pasta-e-fave-con-carciofi:144a580e25d57ac0,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,421.6,17.2,11.1,"1,2,11,12","1,2,11,12",True,carciofo | fave | olio | pasta
plant_pasta,Pasta e lenticchie con carote,base:recipe:v6-pasta-e-lenticchie-con-carote,base:recipe-version:v6-pasta-e-lenticchie-con-carote:86363e74837643b7,Pranzo | Cena | Brunch | Pasto preturno,legumes,pasta,True,0.0,False,427.5,16.0,11.3,"1,2,9,10,11,12","1,2,9,10,11,12",True,carota | lenticchie | olio | pasta
plant_pasta,Pasta e lenticchie con cavolo nero,base:recipe:v6-pasta-e-lenticchie-con-cavolo-nero,base:recipe-version:v6-pasta-e-lenticchie-con-cavolo-nero:6cfbf87c7ea7e664,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,427.3,19.2,11.6,"1,2,10,11,12","1,2,10,11,12",True,cavolo_nero | lenticchie | olio | pasta
plant_pasta,Pasta e lenticchie con passata e spinaci,base:recipe:v6-pasta-e-lenticchie-con-passata-e-spinaci,base:recipe-version:v6-pasta-e-lenticchie-con-passata-e-spinaci:9a451f889d032790,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,436.3,19.3,11.7,"1,2,9,10,11,12","1,2,9,10,11,12",True,lenticchie | olio | passata | pasta | spinaci
plant_pasta,Pasta e piselli con porro,base:recipe:v6-pasta-e-piselli-con-porro,base:recipe-version:v6-pasta-e-piselli-con-porro:4688d88f642de1ef,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,445.5,15.8,10.3,"1,2,10,11,12","1,2,10,11,12",True,olio | pasta | piselli | porro
plant_pasta,Pasta e piselli con spinaci,base:recipe:v6-pasta-e-piselli-con-spinaci,base:recipe-version:v6-pasta-e-piselli-con-spinaci:1b8955b2f5d4cea1,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,416.7,18.4,11.6,"1,2,9,10,11,12","1,2,9,10,11,12",True,olio | pasta | piselli | spinaci
plant_pasta,"Pasta integrale con hummus, carote e spinaci",base:recipe:v6-pasta-integrale-con-hummus-carote-e-spinaci,base:recipe-version:v6-pasta-integrale-con-hummus-carote-e-spinaci:a9229b7253a81780,Pranzo | Cena | Brunch | Pasto preturno,legumes,pasta,True,0.0,False,372.9,14.4,11.4,"1,2,9,10,11,12","1,2,9,10,11,12",True,carota | hummus | olio | pasta_integrale | spinaci
plant_pasta,Pasta integrale con lupini e zucca,base:recipe:v6-pasta-integrale-con-lupini-e-zucca,base:recipe-version:v6-pasta-integrale-con-lupini-e-zucca:b3901392e023e90a,Pranzo | Cena | Pasto preturno,legumes,pasta,True,0.0,False,399.4,20.4,7.6,"1,2,9,10,11,12","1,2,9,10,11,12",True,lupini | olio | pasta_integrale | zucca
plant_rice,Riso basmati con borlotti e spinaci,base:recipe:v6-riso-basmati-con-borlotti-e-spinaci,base:recipe-version:v6-riso-basmati-con-borlotti-e-spinaci:96ddd02df0493d09,Pranzo | Cena | Pasto preturno,legumes,rice,True,0.0,False,429.4,16.8,9.1,"1,2,9,10,11,12","1,2,9,10,11,12",True,borlotti | olio | riso_basmati | spinaci
plant_rice,Riso basmati con ceci e carote,base:recipe:v6-riso-basmati-con-ceci-e-carote,base:recipe-version:v6-riso-basmati-con-ceci-e-carote:7277f67999f4413a,Pranzo | Cena | Brunch | Pasto preturno,legumes,rice,True,0.0,False,490.1,13.8,11.5,"1,2,9,10,11,12","1,2,9,10,11,12",True,carota | ceci | olio | riso_basmati
plant_rice,Riso basmati con lenticchie e broccoli,base:recipe:v6-riso-basmati-con-lenticchie-e-broccoli,base:recipe-version:v6-riso-basmati-con-lenticchie-e-broccoli:96846871ea25b833,Pranzo | Cena | Pasto preturno,legumes,rice,True,0.0,False,437.1,16.6,11.3,"1,2,10,11,12","1,2,10,11,12",True,broccoli | lenticchie | olio | riso_basmati
plant_rice,Riso basmati con piselli e zucca,base:recipe:v6-riso-basmati-con-piselli-e-zucca,base:recipe-version:v6-riso-basmati-con-piselli-e-zucca:75aaa80296aeb6f9,Pranzo | Cena | Brunch | Pasto preturno,legumes,rice,True,0.0,False,430.6,13.1,8.4,"1,2,9,10,11,12","1,2,9,10,11,12",True,olio | piselli | riso_basmati | zucca
