recipeVersionId,recipeId,primaryProtein,primaryCarb,eggEquivalentUnits,dairyOccurrence,dairyCodes,plantProteinMain,pastaRicePrimary,avocadoG,ingredientCodes
base:recipe-version:couscous-marocchino-delicato-con-tacchino-e-bietole:3a2ec05d0d9af8aa,base:recipe:couscous-marocchino-delicato-con-tacchino-e-bietole,poultry,other_grains,0,false,,false,false,0,couscous|tacchino|bietola|cavolfiore|olio|pane_bianco
base:recipe-version:couscous-marocchino-delicato-con-tacchino-e-fagiolini:b9e6f822041b2859,base:recipe:couscous-marocchino-delicato-con-tacchino-e-fagiolini,poultry,other_grains,0,false,,false,false,0,couscous|tacchino|fagiolini|carota|olio
base:recipe-version:couscous-marocchino-delicato-con-tacchino-e-finocchi:6d8188dddd57a997,base:recipe:couscous-marocchino-delicato-con-tacchino-e-finocchi,poultry,other_grains,0,false,,false,false,0,couscous|tacchino|finocchio|cavolfiore|olio
base:recipe-version:couscous-marocchino-delicato-con-tacchino-e-finocchi:cbfe17996f981092,base:recipe:couscous-marocchino-delicato-con-tacchino-e-finocchi,poultry,other_grains,0,false,,false,false,0,couscous_integrale|tacchino|finocchio|cavolfiore|olio
base:recipe-version:crackers-classici-con-hummus-delicato:27b122baaf5f3d79,base:recipe:crackers-classici-con-hummus-delicato,,crackers_rusks_cakes,0,false,,false,false,0,crackers|hummus|melagrana
base:recipe-version:crackers-classici-con-hummus-delicato:336656d51106c925,base:recipe:crackers-classici-con-hummus-delicato,,crackers_rusks_cakes,0,false,,false,false,0,crackers|hummus|pera
base:recipe-version:crackers-classici-con-hummus-delicato:afbb8a2d7f8a60c2,base:recipe:crackers-classici-con-hummus-delicato,,crackers_rusks_cakes,0,false,,false,false,0,crackers|hummus|arancia
base:recipe-version:curry-bianco-molto-delicato-di-pollo-e-zucca:20bf020503f4e943,base:recipe:curry-bianco-molto-delicato-di-pollo-e-zucca,poultry,rice,0,false,,false,true,0,riso_basmati|pollo|zucca|latte_cocco_light|olio
base:recipe-version:curry-bianco-molto-delicato-di-pollo-e-zucca:be2bab570860f955,base:recipe:curry-bianco-molto-delicato-di-pollo-e-zucca,poultry,rice,0,false,,false,true,0,riso_integrale|pollo|zucca|latte_cocco_light|olio
base:recipe-version:filetto-di-maiale-con-patate-e-spinaci:0eea0c723bd3399c,base:recipe:filetto-di-maiale-con-patate-e-spinaci,red_meat,potato,0,false,,false,false,0,maiale_filetto|patata|spinaci|olio
base:recipe-version:filetto-di-maiale-con-polenta-e-carote:3f572d4b16625494,base:recipe:filetto-di-maiale-con-polenta-e-carote,red_meat,bread,1.6,false,,false,false,0,maiale_filetto|polenta|carota|olio|albume|pane_bianco
base:recipe-version:filetto-di-maiale-con-polenta-e-carote:49866ab66aa3e8ee,base:recipe:filetto-di-maiale-con-polenta-e-carote,red_meat,other_grains,0,false,,false,false,0,maiale_filetto|polenta|carota|olio
base:recipe-version:filetto-di-maiale-con-polenta-e-sedano-rapa:b34379c49eaacc97,base:recipe:filetto-di-maiale-con-polenta-e-sedano-rapa,red_meat,other_grains,0,false,,false,false,0,maiale_filetto|polenta|sedano_rapa|olio
base:recipe-version:filetto-di-maiale-con-polenta-e-zucca:173114f52e739b82,base:recipe:filetto-di-maiale-con-polenta-e-zucca,red_meat,other_grains,0,false,,false,false,0,maiale_filetto|polenta|zucca|olio
base:recipe-version:filetto-di-maiale-con-polenta-e-zucchine:c5bf398c2a3ca85b,base:recipe:filetto-di-maiale-con-polenta-e-zucchine,red_meat,other_grains,0,false,,false,false,0,maiale_filetto|polenta|zucchina|olio
base:recipe-version:french-toast-delicato-con-frutta:7a41c615f143ffb0,base:recipe:french-toast-delicato-con-frutta,eggs,bread,1,false,,false,false,0,pane_bianco|uovo|latte_ps|melagrana|miele
base:recipe-version:french-toast-delicato-con-frutta:933b4db38fc2b812,base:recipe:french-toast-delicato-con-frutta,eggs,bread,1,false,,false,false,0,pane_bianco|uovo|latte_ps|pera|miele
base:recipe-version:french-toast-delicato-con-frutta:9b1a650c7d194ae3,base:recipe:french-toast-delicato-con-frutta,eggs,bread,1,false,,false,false,0,pane_bianco|uovo|latte_ps|mandarino|miele
base:recipe-version:french-toast-delicato-con-frutta:dd90456291668ba2,base:recipe:french-toast-delicato-con-frutta,eggs,bread,1,false,,false,false,0,pane_bianco|uovo|latte_ps|fico|miele
base:recipe-version:frutta-e-mandorle:c54c36003b8b56a9,base:recipe:frutta-e-mandorle,,,0,false,,false,false,0,pera|mandorle
base:recipe-version:frutta-e-mandorle:f4946c3f96529e3f,base:recipe:frutta-e-mandorle,,,0,false,,false,false,0,pompelmo|mandorle
base:recipe-version:frutta-e-nocciole:62c8e8712f5c0200,base:recipe:frutta-e-nocciole,,,0,false,,false,false,0,pompelmo|nocciole
base:recipe-version:frutta-e-nocciole:793cbb29b0233305,base:recipe:frutta-e-nocciole,,,0,false,,false,false,0,mela|nocciole
base:recipe-version:frutta-e-nocciole:971bc3435c9f8b39,base:recipe:frutta-e-nocciole,,,0,false,,false,false,0,kiwi|nocciole
base:recipe-version:frutta-e-nocciole:c70cdc861837e7bd,base:recipe:frutta-e-nocciole,,,0,false,,false,false,0,arancia|nocciole
base:recipe-version:frutta-e-nocciole:fe52606cbcf0b0a9,base:recipe:frutta-e-nocciole,,,0,false,,false,false,0,cachi|nocciole
base:recipe-version:frutta-in-porzione-piccola:08e3edbd66951d58,base:recipe:frutta-in-porzione-piccola,,,0,false,,false,false,0,banana
base:recipe-version:frutta-in-porzione-piccola:66f165e587c2dffb,base:recipe:frutta-in-porzione-piccola,,,0,false,,false,false,0,fico
base:recipe-version:frutta-in-porzione-piccola:6bdebfa528d96dc7,base:recipe:frutta-in-porzione-piccola,,,0,false,,false,false,0,uva
base:recipe-version:frutta-in-porzione-piccola:9fa65d918b9175ba,base:recipe:frutta-in-porzione-piccola,,,0,false,,false,false,0,kiwi
base:recipe-version:kefir-con-fette-classiche-e-confettura:0a94b5180d6811b4,base:recipe:kefir-con-fette-classiche-e-confettura,milk_yogurt,crackers_rusks_cakes,0,false,,false,false,0,kefir|fette_bianche|marmellata|mela
base:recipe-version:kefir-con-fette-classiche-e-confettura:0c92a4526db020f1,base:recipe:kefir-con-fette-classiche-e-confettura,milk_yogurt,crackers_rusks_cakes,0,false,,false,false,0,kefir|fette_bianche|marmellata|pompelmo
base:recipe-version:kefir-con-fette-classiche-e-confettura:565d49687dc3de64,base:recipe:kefir-con-fette-classiche-e-confettura,milk_yogurt,crackers_rusks_cakes,0,false,,false,false,0,kefir|fette_bianche|marmellata|melagrana
base:recipe-version:kefir-con-fette-classiche-e-confettura:957634af85ac4a41,base:recipe:kefir-con-fette-classiche-e-confettura,milk_yogurt,crackers_rusks_cakes,0,false,,false,false,0,kefir|fette_bianche|marmellata|mandarino
base:recipe-version:kefir-con-fette-classiche-e-confettura:ca779e18c3f24413,base:recipe:kefir-con-fette-classiche-e-confettura,milk_yogurt,crackers_rusks_cakes,0,false,,false,false,0,kefir|fette_bianche|marmellata|pera
base:recipe-version:kefir-e-fette-classiche:4c24043bb18dbd80,base:recipe:kefir-e-fette-classiche,milk_yogurt,crackers_rusks_cakes,0,false,,false,false,0,kefir|fette_bianche
base:recipe-version:kefir-e-frutta:47da41e20e20f205,base:recipe:kefir-e-frutta,milk_yogurt,,0,false,,false,false,0,kefir|kiwi
base:recipe-version:kefir-e-frutta:5d2d12ec2da1027a,base:recipe:kefir-e-frutta,milk_yogurt,,0,false,,false,false,0,kefir|mela
base:recipe-version:kefir-e-frutta:9d9d38ab49b00b02,base:recipe:kefir-e-frutta,milk_yogurt,,0,false,,false,false,0,kefir|pera
base:recipe-version:kefir-piccolo:0120716d4b11c95a,base:recipe:kefir-piccolo,milk_yogurt,,0,false,,false,false,0,kefir
base:recipe-version:kofte-di-tacchino-delicati-con-riso-e-bietole:2bd7b2cacf7c8223,base:recipe:kofte-di-tacchino-delicati-con-riso-e-bietole,poultry,rice,0,false,,false,true,0,tacchino|pangrattato|riso_basmati|bietola|yogurt_bianco|olio
base:recipe-version:kofte-di-tacchino-delicati-con-riso-e-carote:f7b3875932ca827f,base:recipe:kofte-di-tacchino-delicati-con-riso-e-carote,poultry,rice,0,false,,false,true,0,tacchino|pangrattato|riso_basmati|carota|yogurt_bianco|olio
base:recipe-version:kofte-di-tacchino-delicati-con-riso-e-pomodori:c9b5203823160ba9,base:recipe:kofte-di-tacchino-delicati-con-riso-e-pomodori,poultry,rice,0,false,,false,true,0,tacchino|pangrattato|riso_basmati|pomodoro|yogurt_bianco|olio
base:recipe-version:kofte-di-tacchino-delicati-con-riso-e-radicchio:53d6ef52b4a5cd5c,base:recipe:kofte-di-tacchino-delicati-con-riso-e-radicchio,poultry,rice,0,false,,false,true,0,tacchino|pangrattato|riso_integrale|radicchio|yogurt_bianco|olio
base:recipe-version:kofte-di-tacchino-delicati-con-riso-e-spinaci:ed32769eca60a57a,base:recipe:kofte-di-tacchino-delicati-con-riso-e-spinaci,poultry,rice,0,false,,false,true,0,tacchino|pangrattato|riso_basmati|spinaci|yogurt_bianco|olio
base:recipe-version:latte-corn-flakes-e-frutta:489c786e4e4694d6,base:recipe:latte-corn-flakes-e-frutta,milk_yogurt,other_grains,0,false,,false,false,0,latte_ps|cornflakes|banana|mandorle
base:recipe-version:latte-corn-flakes-e-frutta:cf62f1c1f1381a34,base:recipe:latte-corn-flakes-e-frutta,milk_yogurt,other_grains,0,false,,false,false,0,latte_ps|cornflakes|mela|mandorle
base:recipe-version:latte-e-frutta:52f50bbedb3cc959,base:recipe:latte-e-frutta,milk_yogurt,,0,false,,false,false,0,latte_ps|pera
base:recipe-version:latte-e-frutta:8c4d1165cce186f8,base:recipe:latte-e-frutta,milk_yogurt,,0,false,,false,false,0,latte_ps|mandarino
base:recipe-version:latte-e-frutta:be9de76ab5b19d0a,base:recipe:latte-e-frutta,milk_yogurt,,0,false,,false,false,0,latte_ps|arancia
base:recipe-version:latte-e-gallette-di-riso:0305150caf7bf7be,base:recipe:latte-e-gallette-di-riso,milk_yogurt,crackers_rusks_cakes,0,false,,false,false,0,latte_ps|gallette_riso
base:recipe-version:latte-piccolo:af0c44c699cd8ae3,base:recipe:latte-piccolo,milk_yogurt,,0,false,,false,false,0,latte_ps
base:recipe-version:manzo-magro-con-pane-bianco-e-carote:584e027f54d81f53,base:recipe:manzo-magro-con-pane-bianco-e-carote,red_meat,bread,0,false,,false,false,0,manzo_magro|pane_bianco|carota|olio
base:recipe-version:manzo-magro-con-pane-bianco-e-cavolfiore:09d23863cdb9eb6e,base:recipe:manzo-magro-con-pane-bianco-e-cavolfiore,red_meat,bread,0,false,,false,false,0,manzo_magro|pane_integrale|cavolfiore|olio
base:recipe-version:manzo-magro-con-pane-bianco-e-zucchine:a7b476a5b5a0d662,base:recipe:manzo-magro-con-pane-bianco-e-zucchine,red_meat,bread,0,false,,false,false,0,manzo_magro|pane_bianco|zucchina|olio
base:recipe-version:manzo-magro-con-polenta-e-carote:c034ee16ad5033e0,base:recipe:manzo-magro-con-polenta-e-carote,red_meat,other_grains,0,false,,false,false,0,manzo_magro|polenta|carota|olio
base:recipe-version:manzo-magro-con-polenta-e-zucchine:6497ec9726ad6c1b,base:recipe:manzo-magro-con-polenta-e-zucchine,red_meat,other_grains,0,false,,false,false,0,manzo_magro|polenta|zucchina|olio
base:recipe-version:merluzzo-con-patate-e-bietole:d178944750ee4438,base:recipe:merluzzo-con-patate-e-bietole,fish,potato,0,false,,false,false,0,merluzzo|patata|bietola|olio|pane_bianco
base:recipe-version:merluzzo-con-patate-e-cavolfiore:2e0a3d9a14d82fa0,base:recipe:merluzzo-con-patate-e-cavolfiore,fish,potato,0,false,,false,false,0,merluzzo|patata|cavolfiore|olio
base:recipe-version:mini-panino-bianco-con-bresaola:7479944e46394c7c,base:recipe:mini-panino-bianco-con-bresaola,cold_cuts,bread,0,false,,false,false,0,pane_integrale|bresaola
base:recipe-version:mini-panino-bianco-con-bresaola:b48622af1e275f0f,base:recipe:mini-panino-bianco-con-bresaola,cold_cuts,bread,0,false,,false,false,0,pane_bianco|bresaola
base:recipe-version:mini-panino-con-tacchino-a-fette:898c8264b59b67d8,base:recipe:mini-panino-con-tacchino-a-fette,cold_cuts,bread,0,false,,false,false,0,pane_bianco|tacchino_affettato
base:recipe-version:nasello-con-pane-bianco-e-finocchi:fb6cecf679eeabdd,base:recipe:nasello-con-pane-bianco-e-finocchi,fish,bread,0,false,,false,false,0,nasello|pane_bianco|finocchio|olio
base:recipe-version:nasello-con-pane-bianco-e-radicchio:e5aa19fc76b39721,base:recipe:nasello-con-pane-bianco-e-radicchio,fish,bread,0,false,,false,false,0,nasello|pane_integrale|radicchio|olio
base:recipe-version:noodles-di-riso-con-pollo-e-bietole:0f02d14b9aa8eefb,base:recipe:noodles-di-riso-con-pollo-e-bietole,poultry,other_grains,0,false,,false,false,0,noodles_riso|pollo|bietola|cavolfiore|salsa_soia|olio
base:recipe-version:noodles-di-riso-con-pollo-e-finocchi:1145cdd2934760b8,base:recipe:noodles-di-riso-con-pollo-e-finocchi,poultry,other_grains,0,false,,false,false,0,noodles_riso|pollo|finocchio|zucchina|salsa_soia|olio
base:recipe-version:noodles-di-riso-con-pollo-e-finocchi:2ba940cf86c249a7,base:recipe:noodles-di-riso-con-pollo-e-finocchi,poultry,other_grains,0,false,,false,false,0,noodles_riso|pollo|finocchio|cavolfiore|salsa_soia|olio
base:recipe-version:orata-con-patate-e-bietole:f7dd5fe6df51d49e,base:recipe:orata-con-patate-e-bietole,fish,potato,0,false,,false,false,0,orata|patata|bietola|olio
base:recipe-version:orata-con-patate-e-carote:d0dd38aec06eb42b,base:recipe:orata-con-patate-e-carote,fish,potato,0,false,,false,false,0,orata|patata|carota|olio
base:recipe-version:pane-bianco-e-uovo-sodo:cc72ed269e031a57,base:recipe:pane-bianco-e-uovo-sodo,eggs,bread,1,false,,false,false,0,pane_bianco|uovo
base:recipe-version:piccola-porzione-di-lupini-e-frutta:1b299d173f5668ce,base:recipe:piccola-porzione-di-lupini-e-frutta,legumes,,0,false,,false,false,0,lupini|kiwi
base:recipe-version:piccola-porzione-di-lupini-e-frutta:27a1df3729d2c523,base:recipe:piccola-porzione-di-lupini-e-frutta,legumes,,0,false,,false,false,0,lupini|melagrana
base:recipe-version:piccola-porzione-di-lupini-e-frutta:6a911f595824db87,base:recipe:piccola-porzione-di-lupini-e-frutta,legumes,,0,false,,false,false,0,lupini|arancia
base:recipe-version:poke-tiepido-con-salmone-e-carote:38ccf71c2323630b,base:recipe:poke-tiepido-con-salmone-e-carote,fish,rice,0,false,,false,true,0,riso_basmati|salmone|carota|cetriolo|sesamo|salsa_soia
base:recipe-version:pollo-con-patate-e-carciofi:6d2eaaa952c1d950,base:recipe:pollo-con-patate-e-carciofi,poultry,potato,0,false,,false,false,0,pollo|patata|carciofo|olio
base:recipe-version:pollo-con-patate-e-funghi:7cb1d5839f736ddb,base:recipe:pollo-con-patate-e-funghi,poultry,potato,0,false,,false,false,0,pollo|patata|funghi|olio
base:recipe-version:pollo-con-patate-e-spinaci:60e1b4880c2b8295,base:recipe:pollo-con-patate-e-spinaci,poultry,bread,0,false,,false,false,0,pollo|patata|spinaci|olio|pane_bianco
base:recipe-version:pollo-con-polenta-e-zucca:95b4da9b795cd857,base:recipe:pollo-con-polenta-e-zucca,poultry,other_grains,0,false,,false,false,0,pollo|polenta|zucca|olio
base:recipe-version:pollo-con-riso-basmati-e-finocchi:13c773b5cea60d65,base:recipe:pollo-con-riso-basmati-e-finocchi,poultry,rice,0,false,,false,true,0,pollo|riso_basmati|finocchio|olio
base:recipe-version:polpette-svedesi-leggere-con-zucca:09ff0cbe36d88784,base:recipe:polpette-svedesi-leggere-con-zucca,poultry,potato,0.6,false,,false,false,0,tacchino|pangrattato|uovo|patata|zucca|yogurt_bianco|olio
base:recipe-version:porridge-piccolo-con-frutta-cotta:1538450e6584f491,base:recipe:porridge-piccolo-con-frutta-cotta,milk_yogurt,other_grains,0,false,,false,false,0,avena|latte_ps|banana|noci
base:recipe-version:porridge-piccolo-con-frutta-cotta:46147f8fc54780e5,base:recipe:porridge-piccolo-con-frutta-cotta,milk_yogurt,other_grains,0,false,,false,false,0,avena|latte_ps|arancia|noci
base:recipe-version:porridge-piccolo-con-frutta-cotta:4eb65512fcd2116f,base:recipe:porridge-piccolo-con-frutta-cotta,milk_yogurt,other_grains,0,false,,false,false,0,avena|latte_ps|mandarino|noci
base:recipe-version:porridge-piccolo-con-frutta-cotta:d4000c044e0ed85c,base:recipe:porridge-piccolo-con-frutta-cotta,milk_yogurt,other_grains,0,false,,false,false,0,avena|latte_ps|pera|noci
base:recipe-version:pranzo-leggero-con-merluzzo-pane-e-spinaci:70170d62e5c2f053,base:recipe:pranzo-leggero-con-merluzzo-pane-e-spinaci,fish,bread,0,false,,false,false,0,merluzzo|pane_integrale|spinaci|olio|pane_bianco
base:recipe-version:pranzo-leggero-con-pollo-patate-e-bietole:51f53f0a48ab85d6,base:recipe:pranzo-leggero-con-pollo-patate-e-bietole,poultry,potato,1.6,false,,false,false,0,pollo|patata|bietola|olio|albume|pane_bianco
base:recipe-version:pranzo-leggero-con-pollo-patate-e-fagiolini:51b326d65f384f25,base:recipe:pranzo-leggero-con-pollo-patate-e-fagiolini,poultry,potato,1.6,false,,false,false,0,pollo|patata|fagiolini|olio|albume|pane_bianco
base:recipe-version:pranzo-leggero-con-tacchino-pane-e-spinaci:b78acd31c8ff180a,base:recipe:pranzo-leggero-con-tacchino-pane-e-spinaci,poultry,bread,0,false,,false,false,0,tacchino|pane_integrale|spinaci|olio|pane_bianco
base:recipe-version:riso-teriyaki-delicato-con-tacchino-e-carciofi:e4b71ccbec6fce46,base:recipe:riso-teriyaki-delicato-con-tacchino-e-carciofi,poultry,rice,0,false,,false,true,0,riso_jasmine|tacchino|carciofo|radicchio|salsa_soia|olio
base:recipe-version:riso-teriyaki-delicato-con-tacchino-e-melanzane:6da7b42882068260,base:recipe:riso-teriyaki-delicato-con-tacchino-e-melanzane,poultry,rice,0,false,,false,true,0,riso_jasmine|tacchino|melanzana|bietola|salsa_soia|olio
base:recipe-version:riso-teriyaki-delicato-con-tacchino-e-spinaci:7ebcf1cfe3de74f2,base:recipe:riso-teriyaki-delicato-con-tacchino-e-spinaci,poultry,rice,0,false,,false,true,0,riso_jasmine|tacchino|spinaci|cavolfiore|salsa_soia|olio
base:recipe-version:salmone-con-polenta-e-carciofi:f669043325b6b4ce,base:recipe:salmone-con-polenta-e-carciofi,fish,other_grains,1.6,false,,false,false,0,salmone|polenta|carciofo|olio|albume
base:recipe-version:salmone-con-polenta-e-funghi:98ea033f289fe02c,base:recipe:salmone-con-polenta-e-funghi,fish,other_grains,0,false,,false,false,0,salmone|polenta|funghi|olio
base:recipe-version:salmone-con-polenta-e-spinaci:50caa9014a2d0b85,base:recipe:salmone-con-polenta-e-spinaci,fish,other_grains,0,false,,false,false,0,salmone|polenta|spinaci|olio
base:recipe-version:salmone-nordico-con-patate-e-broccoli:3bf06f6c333277ab,base:recipe:salmone-nordico-con-patate-e-broccoli,fish,potato,0,false,,false,false,0,salmone|patata|broccoli|yogurt_bianco|olio
base:recipe-version:salmone-nordico-con-patate-e-cavolfiore:3f265b82ad2b2dec,base:recipe:salmone-nordico-con-patate-e-cavolfiore,fish,potato,0,false,,false,false,0,salmone|patata|cavolfiore|yogurt_bianco|olio
base:recipe-version:salmone-nordico-con-patate-e-cavolfiore:a5af330bd4835b4d,base:recipe:salmone-nordico-con-patate-e-cavolfiore,fish,potato,0,false,,false,false,0,salmone|patata|cavolfiore|yogurt_bianco|olio
base:recipe-version:salmone-nordico-con-patate-e-zucca:12ef1495b6cb91b9,base:recipe:salmone-nordico-con-patate-e-zucca,fish,potato,0,false,,false,false,0,salmone|patata|zucca|yogurt_bianco|olio
base:recipe-version:semolino-al-latte-con-frutta:684b6cb4fac1d9a6,base:recipe:semolino-al-latte-con-frutta,milk_yogurt,other_grains,0,false,,false,false,0,semolino|latte_ps|pera|nocciole
base:recipe-version:semolino-al-latte-con-frutta:f9c97b197bd188de,base:recipe:semolino-al-latte-con-frutta,milk_yogurt,other_grains,0,false,,false,false,0,semolino|latte_ps|mandarino|nocciole
base:recipe-version:sgombro-con-pane-bianco-e-pomodori:8a722b95679d9c63,base:recipe:sgombro-con-pane-bianco-e-pomodori,fish,bread,1.6,false,,false,false,0,sgombro|pane_bianco|pomodoro|olio|albume
base:recipe-version:sogliola-con-riso-e-lattuga:dad2da960a909df7,base:recipe:sogliola-con-riso-e-lattuga,fish,rice,0,false,,false,true,0,sogliola|riso_basmati|lattuga|olio
base:recipe-version:sogliola-con-riso-e-sedano-rapa:217b6da137397614,base:recipe:sogliola-con-riso-e-sedano-rapa,fish,rice,0,false,,false,true,0,sogliola|riso_basmati|sedano_rapa|olio
base:recipe-version:tacchino-con-pane-bianco-e-cavolfiore:d44a48e0ba0d19a4,base:recipe:tacchino-con-pane-bianco-e-cavolfiore,poultry,bread,0,false,,false,false,0,tacchino|pane_integrale|cavolfiore|olio
base:recipe-version:tacchino-con-pane-bianco-e-zucca:3031ea51c14aa153,base:recipe:tacchino-con-pane-bianco-e-zucca,poultry,bread,0,false,,false,false,0,tacchino|pane_integrale|zucca|olio
base:recipe-version:tacchino-con-riso-basmati-e-bietole:0df19eb374359662,base:recipe:tacchino-con-riso-basmati-e-bietole,poultry,bread,0,false,,false,false,0,tacchino|riso_basmati|bietola|olio|pane_bianco
base:recipe-version:tacchino-con-riso-basmati-e-bietole:1209f4be8f816255,base:recipe:tacchino-con-riso-basmati-e-bietole,poultry,rice,0,false,,false,true,0,tacchino|riso_basmati|bietola|olio
base:recipe-version:tacchino-con-riso-basmati-e-cavolfiore:3841d5c167566f43,base:recipe:tacchino-con-riso-basmati-e-cavolfiore,poultry,rice,0,false,,false,true,0,tacchino|riso_basmati|cavolfiore|olio
base:recipe-version:trota-con-riso-e-broccoli:cabee0d8a86538f5,base:recipe:trota-con-riso-e-broccoli,fish,rice,0,false,,false,true,0,trota|riso_basmati|broccoli|olio
base:recipe-version:trota-con-riso-e-cavolfiore:74a435400eb0a948,base:recipe:trota-con-riso-e-cavolfiore,fish,rice,0,false,,false,true,0,trota|riso_basmati|cavolfiore|olio
base:recipe-version:trota-con-riso-e-zucchine:36972b50f1b64e38,base:recipe:trota-con-riso-e-zucchine,fish,rice,0,false,,false,true,0,trota|riso_basmati|zucchina|olio
base:recipe-version:uova-strapazzate-pane-bianco-e-frutta:6638580855d72107,base:recipe:uova-strapazzate-pane-bianco-e-frutta,eggs,bread,2,false,,false,false,0,uovo|pane_bianco|arancia|spinaci
base:recipe-version:uova-strapazzate-pane-bianco-e-frutta:a839660cc452be4b,base:recipe:uova-strapazzate-pane-bianco-e-frutta,eggs,bread,2,false,,false,false,0,uovo|pane_bianco|mela|spinaci
base:recipe-version:uova-strapazzate-pane-bianco-e-frutta:b3168f70b4000f23,base:recipe:uova-strapazzate-pane-bianco-e-frutta,eggs,bread,2,false,,false,false,0,uovo|pane_bianco|pera|spinaci
base:recipe-version:uova-strapazzate-pane-bianco-e-frutta:df0406801e311ac0,base:recipe:uova-strapazzate-pane-bianco-e-frutta,eggs,bread,2,false,,false,false,0,uovo|pane_integrale|mela|spinaci
base:recipe-version:uova-strapazzate-pane-bianco-e-frutta:e6f53c3cac84cfbc,base:recipe:uova-strapazzate-pane-bianco-e-frutta,eggs,bread,2,false,,false,false,0,uovo|pane_bianco|pompelmo|spinaci
base:recipe-version:uova-strapazzate-pane-bianco-e-frutta:f66f59f30a1a4190,base:recipe:uova-strapazzate-pane-bianco-e-frutta,eggs,bread,2,false,,false,false,0,uovo|pane_bianco|mandarino|spinaci
