global_day,month,day_type,weekly_focus,meal_id,meal_type,time,original_recipe_version_id,selected_recipe_version_id,selected_recipe_title,changed,reasons
2,Settembre,D2,rice_animal,base:meal:002:06,Mini-pasto pre-sonno,08:20,base:recipe-version:frutta-e-grana:e22cb752c07b71e7,base:recipe-version:mini-panino-bianco-con-bresaola:7479944e46394c7c,Mini panino bianco con bresaola,True,riduzione_latticini | varieta_distribuzione
3,Settembre,D3,plant_rice,base:meal:003:01,Brunch,15:00,base:recipe-version:brunch-salmone-nordico-con-patate-e-zucca:6c518a0b9734ea57,base:recipe-version:v6-riso-basmati-con-ceci-e-carote:7277f67999f4413a,Riso basmati con ceci e carote,True,riduzione_uova_albume | backbone_vegetale_riso
3,Settembre,D3,plant_rice,base:meal:003:02,Spuntino,18:30,base:recipe-version:kefir-e-frutta:9d9d38ab49b00b02,base:recipe-version:v6-fette-integrali-con-burro-di-arachidi-e-confettura:72fcd8752957f6a3,Fette integrali con burro di arachidi e confettura,True,varieta_distribuzione
3,Settembre,D3,plant_rice,base:meal:003:03,Cena,21:00,base:recipe-version:tortino-al-forno-di-uova-patate-e-carote:124911724a3abbf1,base:recipe-version:v6c-brunch-completo-con-couscous-tacchino-e-spinaci:a20df9da2d65c783,"Brunch completo con couscous, tacchino e spinaci",True,riduzione_uova_albume | varieta_distribuzione
4,Settembre,D4,pasta_animal,base:meal:004:01,Colazione,08:00,base:recipe-version:mini-piadina-con-tacchino-e-robiola:a9b830a3c5b09b17,base:recipe-version:mini-piadina-con-tacchino-e-robiola:a9b830a3c5b09b17,Mini piadina con tacchino e robiola,False,conservato
4,Settembre,D4,pasta_animal,base:meal:004:02,Spuntino,11:00,base:recipe-version:kefir-e-fette-classiche:4c24043bb18dbd80,base:recipe-version:kefir-e-fette-classiche:4c24043bb18dbd80,Kefir e fette classiche,False,conservato
4,Settembre,D4,pasta_animal,base:meal:004:03,Pranzo,13:30,base:recipe-version:pasta-integrale-con-pollo-e-carote:e16c7d0561e5db8f,base:recipe-version:v6-pasta-con-gamberi-e-zucchine:dd40348d582dc3cf,Pasta con gamberi e zucchine,True,riduzione_latticini | backbone_pasta
4,Settembre,D4,pasta_animal,base:meal:004:04,Spuntino,17:30,base:recipe-version:latte-e-frutta:5810692902d5524f,base:recipe-version:latte-e-frutta:5810692902d5524f,Latte e frutta,False,conservato
4,Settembre,D4,pasta_animal,base:meal:004:05,Cena,20:30,base:recipe-version:jacket-potato-con-tonno-primosale-e-bietole:39d76c332d82bec4,base:recipe-version:manzo-magro-con-polenta-e-zucchine:6497ec9726ad6c1b,Manzo magro con polenta e zucchine,True,riduzione_latticini | varieta_distribuzione
5,Settembre,D5,plant_pasta,base:meal:005:01,Colazione,08:00,base:recipe-version:kefir-con-fette-classiche-e-confettura:d66602f1f4ac41ea,base:recipe-version:kefir-con-fette-classiche-e-confettura:d66602f1f4ac41ea,Kefir con fette classiche e confettura,False,conservato
5,Settembre,D5,plant_pasta,base:meal:005:02,Spuntino,11:00,base:recipe-version:primosale-e-gallette-di-riso:c2e743864218b117,base:recipe-version:latte-e-gallette-di-riso:0305150caf7bf7be,Latte e gallette di riso,True,riduzione_latticini | varieta_distribuzione
5,Settembre,D5,plant_pasta,base:meal:005:03,Pranzo,13:30,base:recipe-version:croque-monsieur-leggero-con-cotto-mozzarella-e-melanzane:3d7b823f7090000a,base:recipe-version:orata-con-patate-e-bietole:f7dd5fe6df51d49e,Orata con patate e bietole,True,riduzione_latticini | varieta_distribuzione
5,Settembre,D5,plant_pasta,base:meal:005:04,Spuntino,17:30,base:recipe-version:latte-e-gallette-di-riso:0305150caf7bf7be,base:recipe-version:piccola-porzione-di-lupini-e-frutta:27a1df3729d2c523,Piccola porzione di lupini e frutta,True,varieta_distribuzione
5,Settembre,D5,plant_pasta,base:meal:005:05,Cena,20:30,base:recipe-version:filetto-di-maiale-con-polenta-e-zucchine:c5bf398c2a3ca85b,base:recipe-version:v6-pasta-e-ceci-con-zucca:04b7f6a9d9589b93,Pasta e ceci con zucca,True,backbone_vegetale_pasta
6,Settembre,D1,rice_animal,base:meal:006:01,Colazione,06:30,base:recipe-version:french-toast-delicato-con-frutta:dd90456291668ba2,base:recipe-version:v6-yogurt-con-avena-e-pera:deac64791fb6ff2d,Yogurt con avena e pera,True,riduzione_uova_albume | varieta_distribuzione
6,Settembre,D1,rice_animal,base:meal:006:02,Spuntino,10:30,base:recipe-version:latte-e-gallette-di-riso:0305150caf7bf7be,base:recipe-version:crackers-classici-con-hummus-delicato:336656d51106c925,Crackers classici con hummus delicato,True,varieta_distribuzione
6,Settembre,D1,rice_animal,base:meal:006:03,Pranzo,13:30,base:recipe-version:nasello-con-pane-bianco-e-fagiolini:c2d1f365a35492b7,base:recipe-version:pranzo-leggero-con-merluzzo-riso-e-funghi:f54301d61167e559,"Pranzo leggero con merluzzo, riso e funghi",True,backbone_riso
6,Settembre,D1,rice_animal,base:meal:006:04,Spuntino,17:30,base:recipe-version:crackers-classici-con-hummus-delicato:9973a6bb5cb9312b,base:recipe-version:v6-yogurt-con-frutti-di-bosco-e-nocciole:b86f2b6106ba2075,Yogurt con frutti di bosco e nocciole,True,varieta_distribuzione
6,Settembre,D1,rice_animal,base:meal:006:05,Cena,21:00,base:recipe-version:salmone-nordico-con-patate-e-zucca:12ef1495b6cb91b9,base:recipe-version:salmone-nordico-con-patate-e-zucca:12ef1495b6cb91b9,Salmone nordico con patate e zucca,False,conservato
7,Settembre,D2,other,base:meal:007:01,Colazione,09:00,base:recipe-version:mini-piadina-con-tacchino-e-robiola:a9b830a3c5b09b17,base:recipe-version:latte-corn-flakes-e-frutta:cf62f1c1f1381a34,"Latte, corn flakes e frutta",True,riduzione_latticini | varieta_distribuzione
7,Settembre,D2,other,base:meal:007:02,Pranzo,13:00,base:recipe-version:sogliola-con-riso-e-lattuga:dad2da960a909df7,base:recipe-version:v6-grano-saraceno-con-manzo-e-funghi:d004b061ebe7cd7e,Grano saraceno con manzo e funghi,True,varieta_distribuzione
7,Settembre,D2,other,base:meal:007:03,Pasto preturno,18:30,base:recipe-version:coniglio-con-riso-basmati-e-fagiolini:81bbf1d5eec9bc15,base:recipe-version:manzo-magro-con-pane-bianco-e-zucchine:a7b476a5b5a0d662,Manzo magro con pane bianco e zucchine,True,varieta_distribuzione
7,Settembre,D2,other,base:meal:007:04,Spuntino notturno,23:30,base:recipe-version:uovo-sodo-e-crackers:b92d407cf54f5e44,base:recipe-version:uovo-sodo-e-crackers:b92d407cf54f5e44,Uovo sodo e crackers,False,conservato
7,Settembre,D2,other,base:meal:007:05,Spuntino notturno,03:30,base:recipe-version:pane-bianco-e-uovo-sodo:cc72ed269e031a57,base:recipe-version:v6-crackers-integrali-con-hummus-e-carote:f06cae1e98dec421,Crackers integrali con hummus e carote,True,riduzione_uova_albume | varieta_distribuzione
7,Settembre,D2,other,base:meal:007:06,Mini-pasto pre-sonno,08:20,base:recipe-version:frutta-e-nocciole:400146dc9e9c56e4,base:recipe-version:frutta-e-nocciole:400146dc9e9c56e4,Frutta e nocciole,False,conservato
8,Settembre,D3,plant_pasta,base:meal:008:01,Brunch,15:00,base:recipe-version:brunch-burger-di-tacchino-con-pane-e-zucca-al-forno:51d145e2523448a2,base:recipe-version:v6-pasta-e-lenticchie-con-carote:86363e74837643b7,Pasta e lenticchie con carote,True,riduzione_latticini | backbone_vegetale_pasta
8,Settembre,D3,plant_pasta,base:meal:008:02,Spuntino,18:30,base:recipe-version:yogurt-bianco-e-banana:047824242ce72a93,base:recipe-version:v6-gallette-di-riso-con-burro-di-arachidi-e-banana:0662b0d58a819f7a,Gallette di riso con burro di arachidi e banana,True,varieta_distribuzione
8,Settembre,D3,plant_pasta,base:meal:008:03,Cena,21:00,base:recipe-version:tortilla-spagnola-leggera-con-zucchine:a462a4a125100c48,base:recipe-version:pollo-con-patate-e-spinaci:60e1b4880c2b8295,Pollo con patate e spinaci,True,riduzione_uova_albume | varieta_distribuzione
9,Settembre,D4,rice_animal,base:meal:009:01,Colazione,08:00,base:recipe-version:fette-biscottate-con-robiola-e-miele:a333b090d4f540a0,base:recipe-version:fette-biscottate-con-robiola-e-miele:a333b090d4f540a0,Fette biscottate con robiola e miele,False,conservato
9,Settembre,D4,rice_animal,base:meal:009:02,Spuntino,11:00,base:recipe-version:piadina-mini-con-ricotta:09c4f393f702c181,base:recipe-version:kefir-e-frutta:9d9d38ab49b00b02,Kefir e frutta,True,riduzione_latticini | varieta_distribuzione
9,Settembre,D4,rice_animal,base:meal:009:03,Pranzo,13:30,base:recipe-version:frittata-morbida-con-patate-e-fagiolini:6ae61ad1c4f4df88,base:recipe-version:v6-orzo-con-tacchino-e-zucca:03634e841f0aec0c,Orzo con tacchino e zucca,True,riduzione_uova_albume | varieta_distribuzione
9,Settembre,D4,rice_animal,base:meal:009:04,Spuntino,17:30,base:recipe-version:kefir-e-fette-classiche:4c24043bb18dbd80,base:recipe-version:frutta-e-mandorle:cf32a2fabea95479,Frutta e mandorle,True,varieta_distribuzione
9,Settembre,D4,rice_animal,base:meal:009:05,Cena,20:30,base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-carote:65761b5bbf817bdd,base:recipe-version:kofte-di-tacchino-delicati-con-riso-e-pomodori:c9b5203823160ba9,Kofte di tacchino delicati con riso e pomodori,True,backbone_riso
10,Settembre,D5,plant_rice,base:meal:010:01,Colazione,08:00,base:recipe-version:colazione-leggera-con-latte-e-fette-classiche:8fd04a5b7ddd497f,base:recipe-version:v6-pane-di-segale-burro-di-arachidi-e-pera:949d5ac5223fb3e8,"Pane di segale, burro di arachidi e pera",True,varieta_distribuzione
10,Settembre,D5,plant_rice,base:meal:010:02,Spuntino,11:00,base:recipe-version:frutta-in-porzione-piccola:66f165e587c2dffb,base:recipe-version:mini-panino-bianco-con-bresaola:7479944e46394c7c,Mini panino bianco con bresaola,True,varieta_distribuzione
10,Settembre,D5,plant_rice,base:meal:010:03,Pranzo,13:30,base:recipe-version:pranzo-leggero-con-tacchino-pane-e-fagiolini:7f0d78fdb7e3ddb2,base:recipe-version:v6-riso-basmati-con-borlotti-e-spinaci:96ddd02df0493d09,Riso basmati con borlotti e spinaci,True,riduzione_uova_albume | backbone_vegetale_riso
10,Settembre,D5,plant_rice,base:meal:010:04,Spuntino,17:30,base:recipe-version:latte-piccolo:af0c44c699cd8ae3,base:recipe-version:kefir-piccolo:0120716d4b11c95a,Kefir piccolo,True,varieta_distribuzione
10,Settembre,D5,plant_rice,base:meal:010:05,Cena,20:30,base:recipe-version:pasto-flessibile-pizza-margherita-e-contorno-cotto:b7657ff281710f35,base:recipe-version:v6c-brunch-completo-con-couscous-salmone-e-zucca:102298fa07c2f568,"Brunch completo con couscous, salmone e zucca",True,varieta_distribuzione
11,Settembre,D1,pasta_animal,base:meal:011:01,Colazione,06:30,base:recipe-version:kefir-con-fette-classiche-e-confettura:d66602f1f4ac41ea,base:recipe-version:budino-di-riso-casalingo-e-frutta:6cc1d24620d4f701,Budino di riso casalingo e frutta,True,varieta_distribuzione
11,Settembre,D1,pasta_animal,base:meal:011:02,Spuntino,10:30,base:recipe-version:primosale-e-gallette-di-riso:c2e743864218b117,base:recipe-version:primosale-e-gallette-di-riso:c2e743864218b117,Primosale e gallette di riso,False,conservato
11,Settembre,D1,pasta_animal,base:meal:011:03,Pranzo,13:30,base:recipe-version:risotto-delicato-con-gamberi-e-fagiolini:d50853aedadb24c6,base:recipe-version:v6-couscous-con-pollo-e-carote:d861a05c3d30d7fb,Couscous con pollo e carote,True,riduzione_latticini | varieta_distribuzione
11,Settembre,D1,pasta_animal,base:meal:011:04,Spuntino,17:30,base:recipe-version:latte-e-gallette-di-riso:0305150caf7bf7be,base:recipe-version:v6-mini-panino-con-bresaola-e-carote:f4a50d7eba0d1cff,Mini panino con bresaola e carote,True,varieta_distribuzione
11,Settembre,D1,pasta_animal,base:meal:011:05,Cena,21:00,base:recipe-version:manzo-magro-con-polenta-e-zucchine:6497ec9726ad6c1b,base:recipe-version:v6-pasta-con-calamari-e-pomodoro:776c1b90947dc181,Pasta con calamari e pomodoro,True,backbone_pasta
12,Settembre,D2,plant_pasta,base:meal:012:01,Colazione,09:00,base:recipe-version:fette-biscottate-con-robiola-e-miele:88f39a230fcdda9a,base:recipe-version:v6-pane-integrale-burro-di-arachidi-e-banana:7ed21ce5cd13d99d,"Pane integrale, burro di arachidi e banana",True,riduzione_latticini | varieta_distribuzione
12,Settembre,D2,plant_pasta,base:meal:012:02,Pranzo,13:00,base:recipe-version:salmone-nordico-con-patate-e-zucca:382f659369edb060,base:recipe-version:pollo-con-polenta-e-zucca:95b4da9b795cd857,Pollo con polenta e zucca,True,varieta_distribuzione
12,Settembre,D2,plant_pasta,base:meal:012:03,Pasto preturno,18:30,base:recipe-version:branzino-con-polenta-e-zucchine:05d43f46b0cd324d,base:recipe-version:v6-pasta-e-piselli-con-spinaci:1b8955b2f5d4cea1,Pasta e piselli con spinaci,True,backbone_vegetale_pasta
12,Settembre,D2,plant_pasta,base:meal:012:04,Spuntino notturno,23:30,base:recipe-version:mozzarella-e-pomodorini:ed19c9fabc9729ed,base:recipe-version:kefir-e-fette-classiche:4c24043bb18dbd80,Kefir e fette classiche,True,riduzione_latticini | varieta_distribuzione
12,Settembre,D2,plant_pasta,base:meal:012:05,Spuntino notturno,03:30,base:recipe-version:frutta-e-fiocchi-di-latte-su-gallette:bafeb21a29f7b2a0,base:recipe-version:v6-pane-integrale-con-hummus-e-spinaci:1ba508863e4ce1bf,Pane integrale con hummus e spinaci,True,riduzione_latticini | varieta_distribuzione
12,Settembre,D2,plant_pasta,base:meal:012:06,Mini-pasto pre-sonno,08:20,base:recipe-version:uovo-sodo-e-crackers:b92d407cf54f5e44,base:recipe-version:banana-e-latte:a4b16218d9a8fc6e,Banana e latte,True,riduzione_uova_albume | varieta_distribuzione
13,Settembre,D3,rice_animal,base:meal:013:01,Brunch,15:00,base:recipe-version:brunch-croque-monsieur-leggero-con-cotto-mozzarella-e-melanzane:fc8810506d8d8fb9,base:recipe-version:v6c-brunch-completo-con-farro-tonno-e-fagiolini:ec10bbd1714ec88b,"Brunch completo con farro, tonno e fagiolini",True,riduzione_uova_albume | riduzione_latticini | varieta_distribuzione
13,Settembre,D3,rice_animal,base:meal:013:02,Spuntino,18:30,base:recipe-version:pane-bianco-e-uovo-sodo:cc72ed269e031a57,base:recipe-version:v6-fette-integrali-con-burro-di-arachidi-e-confettura:72fcd8752957f6a3,Fette integrali con burro di arachidi e confettura,True,riduzione_uova_albume | varieta_distribuzione
13,Settembre,D3,rice_animal,base:meal:013:03,Cena,21:00,base:recipe-version:filetto-di-maiale-con-polenta-e-zucchine:708b97fb0ebfd06a,base:recipe-version:coniglio-con-riso-basmati-e-bietole:ec8c162e6190703b,Coniglio con riso basmati e bietole,True,riduzione_uova_albume | backbone_riso
14,Settembre,D4,other,base:meal:014:01,Colazione,08:00,base:recipe-version:toast-bianco-con-ricotta-e-confettura:af4d9ae16aa4329a,base:recipe-version:toast-bianco-con-ricotta-e-confettura:af4d9ae16aa4329a,Toast bianco con ricotta e confettura,False,conservato
14,Settembre,D4,other,base:meal:014:02,Spuntino,11:00,base:recipe-version:piccola-porzione-di-lupini-e-frutta:1441081cb6be12f5,base:recipe-version:crackers-classici-con-hummus-delicato:336656d51106c925,Crackers classici con hummus delicato,True,varieta_distribuzione
14,Settembre,D4,other,base:meal:014:03,Pranzo,13:30,base:recipe-version:piatto-caldo-con-ricotta-pane-bianco-e-lattuga:3902a17753d83a21,base:recipe-version:orata-con-patate-e-bietole:f7dd5fe6df51d49e,Orata con patate e bietole,True,riduzione_uova_albume | riduzione_latticini | varieta_distribuzione
14,Settembre,D4,other,base:meal:014:04,Spuntino,17:30,base:recipe-version:piadina-mini-con-ricotta:09c4f393f702c181,base:recipe-version:latte-e-gallette-di-riso:0305150caf7bf7be,Latte e gallette di riso,True,riduzione_latticini | varieta_distribuzione
14,Settembre,D4,other,base:meal:014:05,Cena,20:30,base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-zucchine:15c1162c0403e1d0,base:recipe-version:filetto-di-maiale-con-polenta-e-zucchine:c5bf398c2a3ca85b,Filetto di maiale con polenta e zucchine,True,riduzione_latticini | varieta_distribuzione
15,Settembre,D5,plant_pasta,base:meal:015:01,Colazione,08:00,base:recipe-version:omelette-alla-feta-con-pane-bianco:3fd115ce6030c5aa,base:recipe-version:kefir-con-fette-classiche-e-confettura:565d49687dc3de64,Kefir con fette classiche e confettura,True,riduzione_uova_albume | riduzione_latticini | varieta_distribuzione
15,Settembre,D5,plant_pasta,base:meal:015:02,Spuntino,11:00,base:recipe-version:banana-e-latte:a4b16218d9a8fc6e,base:recipe-version:piccola-porzione-di-lupini-e-frutta:27a1df3729d2c523,Piccola porzione di lupini e frutta,True,varieta_distribuzione
15,Settembre,D5,plant_pasta,base:meal:015:03,Pranzo,13:30,base:recipe-version:tortilla-spagnola-leggera-con-zucchine:2e90390923703559,base:recipe-version:couscous-marocchino-delicato-con-tacchino-e-fagiolini:b9e6f822041b2859,Couscous marocchino delicato con tacchino e fagiolini,True,riduzione_uova_albume | varieta_distribuzione
15,Settembre,D5,plant_pasta,base:meal:015:04,Spuntino,17:30,base:recipe-version:crackers-e-primosale:89b1db2790bd5aea,base:recipe-version:v6-mini-panino-con-tacchino-e-spinaci:f554c16213f54aa1,Mini panino con tacchino e spinaci,True,riduzione_latticini | varieta_distribuzione
15,Settembre,D5,plant_pasta,base:meal:015:05,Cena,20:30,base:recipe-version:risotto-delicato-con-funghi-e-zucca:c83ed23823f534c3,base:recipe-version:v6-pasta-e-ceci-con-zucca:04b7f6a9d9589b93,Pasta e ceci con zucca,True,riduzione_uova_albume | riduzione_latticini | backbone_vegetale_pasta
16,Settembre,D1,rice_animal,base:meal:016:01,Colazione,06:30,base:recipe-version:pane-di-segale-robiola-e-pera:90cb97fa4e2a5372,base:recipe-version:pane-di-segale-robiola-e-pera:90cb97fa4e2a5372,"Pane di segale, robiola e pera",False,conservato
16,Settembre,D1,rice_animal,base:meal:016:02,Spuntino,10:30,base:recipe-version:crackers-e-primosale:89b1db2790bd5aea,base:recipe-version:v6-kefir-con-banana-e-pistacchi:6663fc9362c6db18,Kefir con banana e pistacchi,True,riduzione_latticini | varieta_distribuzione
16,Settembre,D1,rice_animal,base:meal:016:03,Pranzo,13:30,base:recipe-version:patate-con-crema-di-borlotti-e-melanzane:5b22336a355001da,base:recipe-version:riso-teriyaki-delicato-con-tacchino-e-melanzane:6da7b42882068260,Riso teriyaki delicato con tacchino e melanzane,True,riduzione_uova_albume | riduzione_latticini | backbone_riso
16,Settembre,D1,rice_animal,base:meal:016:04,Spuntino,17:30,base:recipe-version:primosale-e-gallette-di-riso:c2e743864218b117,base:recipe-version:latte-e-frutta:52f50bbedb3cc959,Latte e frutta,True,riduzione_latticini | varieta_distribuzione
16,Settembre,D1,rice_animal,base:meal:016:05,Cena,21:00,base:recipe-version:croque-monsieur-leggero-con-cotto-mozzarella-e-melanzane:a514d8f6de6fb815,base:recipe-version:manzo-magro-con-polenta-e-carote:c034ee16ad5033e0,Manzo magro con polenta e carote,True,riduzione_latticini | varieta_distribuzione
17,Settembre,D2,plant_rice,base:meal:017:01,Colazione,09:00,base:recipe-version:toast-bianco-con-ricotta-e-confettura:3dcfa40fb5f04db9,base:recipe-version:v6-yogurt-con-avena-e-pera:deac64791fb6ff2d,Yogurt con avena e pera,True,riduzione_latticini | varieta_distribuzione
17,Settembre,D2,plant_rice,base:meal:017:02,Pranzo,13:00,base:recipe-version:pasta-con-ricotta-e-lattuga:308769defe7b43ae,base:recipe-version:v6-riso-integrale-con-lenticchie-e-zucca:dc511af2e1f40d7c,Riso integrale con lenticchie e zucca,True,riduzione_uova_albume | riduzione_latticini | backbone_vegetale_riso
17,Settembre,D2,plant_rice,base:meal:017:03,Pasto preturno,18:30,base:recipe-version:risotto-delicato-con-primosale-e-zucchine:ab6e3039c5bf6ff7,base:recipe-version:v6-grano-saraceno-con-manzo-e-funghi:d004b061ebe7cd7e,Grano saraceno con manzo e funghi,True,riduzione_uova_albume | riduzione_latticini | varieta_distribuzione
17,Settembre,D2,plant_rice,base:meal:017:04,Spuntino notturno,23:30,base:recipe-version:mini-panino-con-tacchino-a-fette:898c8264b59b67d8,base:recipe-version:kefir-e-frutta:5d2d12ec2da1027a,Kefir e frutta,True,varieta_distribuzione
17,Settembre,D2,plant_rice,base:meal:017:05,Spuntino notturno,03:30,base:recipe-version:feta-cetriolo-e-crackers:6874564aabe8b391,base:recipe-version:v6-gallette-di-riso-con-burro-di-arachidi-e-banana:0662b0d58a819f7a,Gallette di riso con burro di arachidi e banana,True,riduzione_latticini | varieta_distribuzione
17,Settembre,D2,plant_rice,base:meal:017:06,Mini-pasto pre-sonno,08:20,base:recipe-version:mozzarella-e-pomodorini:ed19c9fabc9729ed,base:recipe-version:frutta-e-mandorle:c54c36003b8b56a9,Frutta e mandorle,True,riduzione_latticini | varieta_distribuzione
18,Settembre,D3,pasta_animal,base:meal:018:01,Brunch,15:00,base:recipe-version:brunch-couscous-marocchino-delicato-con-tacchino-e-fagiolini:cdc52c441541b852,base:recipe-version:v6c-brunch-completo-con-couscous-salmone-e-zucca:102298fa07c2f568,"Brunch completo con couscous, salmone e zucca",True,varieta_distribuzione
18,Settembre,D3,pasta_animal,base:meal:018:02,Spuntino,18:30,base:recipe-version:frutta-e-fiocchi-di-latte-su-gallette:bafeb21a29f7b2a0,base:recipe-version:v6-yogurt-con-frutti-di-bosco-e-nocciole:b86f2b6106ba2075,Yogurt con frutti di bosco e nocciole,True,riduzione_latticini | varieta_distribuzione
18,Settembre,D3,pasta_animal,base:meal:018:03,Cena,21:00,base:recipe-version:riso-teriyaki-delicato-con-tacchino-e-melanzane:c8d495a18082b006,base:recipe-version:v6-pasta-al-ragu-leggero-di-manzo:8ccd58ff43dcb868,Pasta al ragù leggero di manzo,True,riduzione_uova_albume | backbone_pasta
19,Settembre,D4,plant_pasta,base:meal:019:01,Colazione,08:00,base:recipe-version:pancake-di-farina-00-e-ricotta:e5be5645f16fd43b,base:recipe-version:pancake-di-farina-00-e-ricotta:e5be5645f16fd43b,Pancake di farina 00 e ricotta,False,conservato
19,Settembre,D4,plant_pasta,base:meal:019:02,Spuntino,11:00,base:recipe-version:frutta-e-grana:e22cb752c07b71e7,base:recipe-version:mini-panino-bianco-con-bresaola:b48622af1e275f0f,Mini panino bianco con bresaola,True,riduzione_latticini | varieta_distribuzione
19,Settembre,D4,plant_pasta,base:meal:019:03,Pranzo,13:30,base:recipe-version:tacchino-con-pane-bianco-e-zucca:3031ea51c14aa153,base:recipe-version:tacchino-con-pane-bianco-e-zucca:3031ea51c14aa153,Tacchino con pane bianco e zucca,False,conservato
19,Settembre,D4,plant_pasta,base:meal:019:04,Spuntino,17:30,base:recipe-version:mini-panino-bianco-con-bresaola:b48622af1e275f0f,base:recipe-version:mini-panino-con-tacchino-a-fette:898c8264b59b67d8,Mini panino con tacchino a fette,True,varieta_distribuzione
19,Settembre,D4,plant_pasta,base:meal:019:05,Cena,20:30,base:recipe-version:kofte-di-tacchino-delicati-con-riso-e-pomodori:c9b5203823160ba9,base:recipe-version:v6-pasta-e-lenticchie-con-passata-e-spinaci:9a451f889d032790,Pasta e lenticchie con passata e spinaci,True,backbone_vegetale_pasta
20,Settembre,D5,rice_animal,base:meal:020:01,Colazione,08:00,base:recipe-version:yogurt-bianco-corn-flakes-e-frutta:bfd6dccd07b87561,base:recipe-version:yogurt-bianco-corn-flakes-e-frutta:8bd9d43e7adbdeed,"Yogurt bianco, corn flakes e frutta",True,varieta_distribuzione
20,Settembre,D5,rice_animal,base:meal:020:02,Spuntino,11:00,base:recipe-version:frutta-in-porzione-piccola:a1939163477f9174,base:recipe-version:v6-crackers-integrali-con-hummus-e-carote:f06cae1e98dec421,Crackers integrali con hummus e carote,True,varieta_distribuzione
20,Settembre,D5,rice_animal,base:meal:020:03,Pranzo,13:30,base:recipe-version:pranzo-leggero-con-merluzzo-riso-e-lattuga:f2fccd0b2d68ec98,base:recipe-version:sogliola-con-riso-e-lattuga:dad2da960a909df7,Sogliola con riso e lattuga,True,riduzione_uova_albume | backbone_riso
20,Settembre,D5,rice_animal,base:meal:020:04,Spuntino,17:30,base:recipe-version:latte-piccolo:af0c44c699cd8ae3,base:recipe-version:kefir-piccolo:0120716d4b11c95a,Kefir piccolo,True,varieta_distribuzione
20,Settembre,D5,rice_animal,base:meal:020:05,Cena,20:30,base:recipe-version:pasto-flessibile-tagliatelle-al-ragu-e-piccolo-dessert:8d3aaca1bb17d7a9,base:recipe-version:v6c-brunch-completo-con-patate-pollo-e-spinaci:5e33b6e57d8f6e2f,"Brunch completo con patate, pollo e spinaci",True,varieta_distribuzione
