global_day,month,day_type,weekly_focus,review_status,changed_meals,energy_kcal,energy_reference_kcal,energy_delta_pct,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals
21,Settembre,D1,other,approved,3,1625.6,1612.0,0.0085,2.0,1,0,0
22,Settembre,D2,plant_pasta,approved,6,1704.3,1709.0,-0.0027,0.0,0,1,1
23,Settembre,D3,rice_animal,approved,3,1461.8,1467.0,-0.0035,0.0,0,1,0
24,Settembre,D4,plant_rice,approved,3,1608.8,1614.0,-0.0032,1.6,1,1,1
25,Settembre,D5,pasta_animal,approved,5,1610.1,1626.0,-0.0098,0.0,0,1,0
26,Settembre,D1,plant_pasta,approved,4,1611.5,1612.0,-0.0003,0.0,1,1,1
27,Settembre,D2,rice_animal,approved,6,1711.4,1709.0,0.0014,0.0,0,1,0
28,Settembre,D3,other,approved,2,1465.9,1467.0,-0.0008,0.0,1,0,0
29,Settembre,D4,plant_pasta,approved,3,1610.9,1614.0,-0.0019,0.0,0,1,1
30,Settembre,D5,rice_animal,approved,5,1644.2,1626.0,0.0112,0.0,0,1,0
31,Ottobre,D1,plant_rice,approved,3,1609.0,1612.0,-0.0019,0.0,0,1,1
32,Ottobre,D2,pasta_animal,approved,5,1709.1,1709.0,0.0001,0.0,1,1,0
33,Ottobre,D3,plant_pasta,approved,3,1420.1,1467.0,-0.0319,0.0,0,1,1
34,Ottobre,D4,rice_animal,approved,2,1624.1,1614.0,0.0062,2.0,1,1,0
35,Ottobre,D5,other,approved,5,1621.1,1626.0,-0.003,0.0,0,0,0
36,Ottobre,D1,plant_pasta,approved,4,1605.8,1612.0,-0.0038,2.0,0,1,1
37,Ottobre,D2,rice_animal,approved,4,1704.2,1709.0,-0.0028,0.0,1,1,0
38,Ottobre,D3,plant_rice,approved,3,1467.4,1467.0,0.0003,0.0,0,1,1
39,Ottobre,D4,pasta_animal,approved,5,1623.5,1614.0,0.0059,0.0,0,2,0
40,Ottobre,D5,plant_pasta,approved,4,1642.6,1626.0,0.0102,0.0,1,1,1
41,Ottobre,D1,rice_animal,approved,4,1563.0,1612.0,-0.0304,0.0,0,1,0
42,Ottobre,D2,other,approved,5,1704.3,1709.0,-0.0028,0.0,0,0,0
43,Ottobre,D3,plant_pasta,approved,3,1472.6,1467.0,0.0038,0.0,0,1,1
44,Ottobre,D4,rice_animal,approved,4,1616.2,1614.0,0.0014,0.0,1,1,0
45,Ottobre,D5,plant_rice,approved,2,1586.3,1626.0,-0.0244,1.6,0,1,1
46,Ottobre,D1,pasta_animal,approved,4,1612.0,1612.0,-0.0,0.0,1,1,0
47,Ottobre,D2,plant_pasta,approved,6,1701.8,1709.0,-0.0042,0.0,0,1,1
48,Ottobre,D3,rice_animal,approved,2,1481.5,1467.0,0.0099,0.0,1,1,0
49,Ottobre,D4,other,approved,4,1612.1,1614.0,-0.0012,0.0,0,0,0
50,Ottobre,D5,plant_pasta,approved,3,1630.2,1626.0,0.0026,0.0,1,1,1
51,Ottobre,D1,rice_animal,approved,5,1614.9,1612.0,0.0018,0.0,0,1,0
52,Ottobre,D2,plant_rice,approved,5,1723.7,1709.0,0.0086,0.0,1,1,1
53,Ottobre,D3,pasta_animal,approved,3,1449.2,1467.0,-0.0121,0.0,0,1,0
54,Ottobre,D4,plant_pasta,approved,4,1622.2,1614.0,0.0051,0.0,1,1,1
55,Ottobre,D5,rice_animal,approved,4,1617.8,1626.0,-0.005,0.0,0,2,0
56,Ottobre,D1,other,approved,3,1606.8,1612.0,-0.0032,2.0,1,0,0
57,Ottobre,D2,plant_pasta,approved,6,1712.8,1709.0,0.0022,0.0,0,1,1
58,Ottobre,D3,rice_animal,approved,3,1461.8,1467.0,-0.0035,0.0,0,1,0
59,Ottobre,D4,plant_rice,approved,4,1624.4,1614.0,0.0064,0.0,1,1,1
60,Ottobre,D5,pasta_animal,approved,4,1643.2,1626.0,0.0106,0.0,0,1,0
61,Novembre,D1,plant_pasta,approved,5,1606.1,1612.0,-0.0036,0.0,0,1,1
62,Novembre,D2,rice_animal,approved,5,1676.6,1709.0,-0.019,0.0,1,1,0
63,Novembre,D3,other,approved,2,1463.3,1467.0,-0.0025,1.6,0,0,0
64,Novembre,D4,plant_pasta,approved,4,1585.5,1614.0,-0.0177,0.0,1,1,1
65,Novembre,D5,rice_animal,approved,3,1606.6,1626.0,-0.0119,1.0,0,1,0
66,Novembre,D1,plant_rice,approved,3,1609.5,1612.0,-0.0016,0.0,1,1,1
67,Novembre,D2,pasta_animal,approved,5,1708.7,1709.0,-0.0002,1.6,0,0,0
68,Novembre,D3,plant_pasta,approved,3,1436.0,1467.0,-0.0211,0.0,0,1,1
69,Novembre,D4,rice_animal,approved,4,1624.4,1614.0,0.0064,0.0,1,1,0
70,Novembre,D5,other,approved,3,1645.5,1626.0,0.012,0.0,0,0,0
71,Novembre,D1,plant_pasta,approved,5,1605.9,1612.0,-0.0038,0.0,0,1,1
72,Novembre,D2,rice_animal,approved,2,1710.4,1709.0,0.0008,2.0,0,1,0
73,Novembre,D3,plant_rice,approved,3,1446.1,1467.0,-0.0143,0.0,0,1,1
74,Novembre,D4,pasta_animal,approved,3,1621.4,1614.0,0.0046,0.0,1,1,0
75,Novembre,D5,plant_pasta,approved,5,1572.2,1626.0,-0.0331,0.0,0,1,1
76,Novembre,D1,rice_animal,approved,4,1607.1,1612.0,-0.003,0.0,1,1,0
77,Novembre,D2,other,approved,6,1697.6,1709.0,-0.0066,0.0,0,0,0
78,Novembre,D3,plant_pasta,approved,3,1436.0,1467.0,-0.0211,0.0,0,1,1
79,Novembre,D4,rice_animal,approved,4,1613.6,1614.0,-0.0002,0.0,1,1,0
80,Novembre,D5,plant_rice,approved,5,1631.9,1626.0,0.0037,0.0,0,1,1
81,Novembre,D1,pasta_animal,approved,5,1617.4,1612.0,0.0033,0.0,0,1,0
82,Novembre,D2,plant_pasta,approved,5,1714.7,1709.0,0.0033,0.0,1,1,1
83,Novembre,D3,rice_animal,approved,3,1463.3,1467.0,-0.0025,0.0,0,1,0
84,Novembre,D4,other,approved,3,1562.2,1614.0,-0.0321,1.0,1,0,0
85,Novembre,D5,plant_pasta,approved,5,1613.7,1626.0,-0.0076,0.0,0,1,1
86,Novembre,D1,rice_animal,approved,4,1616.4,1612.0,0.0027,2.0,1,1,0
87,Novembre,D2,plant_rice,approved,6,1704.5,1709.0,-0.0026,0.0,0,1,1
88,Novembre,D3,pasta_animal,approved,3,1471.9,1467.0,0.0033,0.0,0,1,0
89,Novembre,D4,plant_pasta,approved,5,1547.8,1614.0,-0.041,0.0,0,1,1
90,Novembre,D5,rice_animal,approved,5,1631.1,1626.0,0.0032,0.0,0,1,0
91,Dicembre,D1,other,approved,4,1615.4,1612.0,0.0021,0.0,0,0,0
92,Dicembre,D2,plant_pasta,approved,4,1701.5,1709.0,-0.0044,0.0,0,1,1
93,Dicembre,D3,rice_animal,approved,3,1466.8,1467.0,-0.0002,0.0,0,1,0
94,Dicembre,D4,plant_rice,approved,4,1623.5,1614.0,0.0059,1.0,0,1,1
95,Dicembre,D5,pasta_animal,approved,3,1597.3,1626.0,-0.0176,0.0,1,1,0
96,Dicembre,D1,plant_pasta,approved,5,1572.7,1612.0,-0.0244,0.0,0,1,1
97,Dicembre,D2,rice_animal,approved,3,1711.5,1709.0,0.0015,0.0,1,1,0
98,Dicembre,D3,other,approved,3,1473.3,1467.0,0.0043,0.0,0,0,0
99,Dicembre,D4,plant_pasta,approved,4,1613.4,1614.0,-0.0004,0.0,1,1,1
100,Dicembre,D5,rice_animal,approved,4,1638.5,1626.0,0.0077,0.0,0,1,0
101,Dicembre,D1,plant_rice,approved,4,1616.2,1612.0,0.0026,2.0,0,1,1
102,Dicembre,D2,pasta_animal,approved,6,1700.0,1709.0,-0.0053,0.0,0,1,0
103,Dicembre,D3,plant_pasta,approved,3,1445.4,1467.0,-0.0147,0.0,0,1,1
104,Dicembre,D4,rice_animal,approved,3,1622.7,1614.0,0.0054,0.0,1,1,0
105,Dicembre,D5,other,approved,5,1607.7,1626.0,-0.0113,0.0,0,0,0
106,Dicembre,D1,plant_pasta,approved,4,1535.4,1612.0,-0.0475,0.0,1,1,1
107,Dicembre,D2,rice_animal,approved,6,1701.5,1709.0,-0.0044,0.0,0,1,0
108,Dicembre,D3,plant_rice,approved,3,1460.8,1467.0,-0.0042,0.0,0,1,1
109,Dicembre,D4,pasta_animal,approved,4,1605.3,1614.0,-0.0054,0.0,0,1,0
110,Dicembre,D5,plant_pasta,approved,4,1640.4,1626.0,0.0089,0.0,1,1,1
111,Dicembre,D1,rice_animal,approved,5,1609.9,1612.0,-0.0013,0.0,0,2,0
112,Dicembre,D2,other,approved,5,1713.7,1709.0,0.0028,0.0,1,0,0
113,Dicembre,D3,plant_pasta,approved,3,1445.4,1467.0,-0.0147,0.0,0,1,1
114,Dicembre,D4,rice_animal,approved,4,1614.4,1614.0,0.0002,0.0,1,1,0
115,Dicembre,D5,plant_rice,approved,4,1627.0,1626.0,0.0006,1.0,0,1,1
116,Dicembre,D1,pasta_animal,approved,4,1576.8,1612.0,-0.0219,0.0,1,1,0
117,Dicembre,D2,plant_pasta,approved,6,1714.0,1709.0,0.0029,0.0,0,1,1
118,Dicembre,D3,rice_animal,approved,3,1475.1,1467.0,0.0055,0.0,0,1,0
119,Dicembre,D4,other,approved,4,1603.2,1614.0,-0.0067,0.0,1,0,0
120,Dicembre,D5,plant_pasta,approved,4,1642.1,1626.0,0.0099,0.0,0,1,1
121,Gennaio,D1,rice_animal,approved,4,1619.8,1612.0,0.0048,0.0,1,1,0
122,Gennaio,D2,plant_rice,approved,6,1711.8,1709.0,0.0016,0.0,0,2,1
123,Gennaio,D3,pasta_animal,approved,3,1471.9,1467.0,0.0033,0.0,0,1,0
124,Gennaio,D4,plant_pasta,approved,3,1618.8,1614.0,0.003,0.0,1,1,1
125,Gennaio,D5,rice_animal,approved,4,1615.1,1626.0,-0.0067,0.0,0,1,0
126,Gennaio,D1,other,approved,5,1595.5,1612.0,-0.0102,0.0,0,0,0
127,Gennaio,D2,plant_pasta,approved,5,1647.3,1709.0,-0.0361,0.0,1,1,1
128,Gennaio,D3,rice_animal,approved,3,1463.8,1467.0,-0.0022,0.0,0,1,0
129,Gennaio,D4,plant_rice,approved,4,1621.6,1614.0,0.0047,2.0,0,1,1
130,Gennaio,D5,pasta_animal,approved,4,1639.2,1626.0,0.0081,0.0,0,1,0
131,Gennaio,D1,plant_pasta,approved,4,1605.5,1612.0,-0.004,0.0,1,1,1
132,Gennaio,D2,rice_animal,approved,4,1704.3,1709.0,-0.0028,0.0,1,1,0
133,Gennaio,D3,other,approved,0,1465.8,1467.0,-0.0008,1.6,0,0,0
134,Gennaio,D4,plant_pasta,approved,2,1620.8,1614.0,0.0042,0.0,1,1,1
135,Gennaio,D5,rice_animal,approved,3,1618.4,1626.0,-0.0047,0.0,0,1,0
136,Gennaio,D1,plant_rice,approved,4,1612.6,1612.0,0.0004,0.0,0,1,1
137,Gennaio,D2,pasta_animal,approved,5,1712.3,1709.0,0.0019,1.0,0,1,0
138,Gennaio,D3,plant_pasta,approved,3,1466.5,1467.0,-0.0003,0.0,0,1,1
139,Gennaio,D4,rice_animal,approved,2,1608.7,1614.0,-0.0033,0.0,1,1,0
140,Gennaio,D5,other,approved,4,1639.3,1626.0,0.0082,0.0,0,0,0
141,Gennaio,D1,plant_pasta,approved,4,1613.7,1612.0,0.001,0.0,1,1,1
142,Gennaio,D2,rice_animal,approved,6,1721.6,1709.0,0.0074,0.0,0,2,0
143,Gennaio,D3,plant_rice,approved,3,1459.4,1467.0,-0.0052,0.0,0,1,1
144,Gennaio,D4,pasta_animal,approved,4,1611.2,1614.0,-0.0017,0.0,1,1,0
145,Gennaio,D5,plant_pasta,approved,5,1625.8,1626.0,-0.0001,0.0,0,1,1
146,Gennaio,D1,rice_animal,approved,5,1616.7,1612.0,0.0029,0.0,0,1,0
147,Gennaio,D2,other,approved,6,1712.1,1709.0,0.0018,0.0,0,0,0
148,Gennaio,D3,plant_pasta,approved,3,1469.4,1467.0,0.0016,0.0,0,1,1
149,Gennaio,D4,rice_animal,approved,3,1583.5,1614.0,-0.0189,1.0,1,1,0
150,Gennaio,D5,plant_rice,approved,4,1644.9,1626.0,0.0116,0.0,0,1,1
151,Febbraio,D1,pasta_animal,approved,3,1603.3,1612.0,-0.0054,0.0,1,1,0
152,Febbraio,D2,plant_pasta,approved,6,1715.1,1709.0,0.0036,0.0,0,1,1
153,Febbraio,D3,rice_animal,approved,3,1468.6,1467.0,0.0011,0.0,0,1,0
154,Febbraio,D4,other,approved,4,1542.1,1614.0,-0.0446,0.0,0,0,0
155,Febbraio,D5,plant_pasta,approved,4,1624.8,1626.0,-0.0007,0.0,0,1,1
156,Febbraio,D1,rice_animal,approved,5,1618.1,1612.0,0.0038,0.0,0,1,0
157,Febbraio,D2,plant_rice,approved,4,1627.2,1709.0,-0.0478,0.0,1,1,1
158,Febbraio,D3,pasta_animal,approved,3,1460.6,1467.0,-0.0044,0.0,0,1,0
159,Febbraio,D4,plant_pasta,approved,4,1623.2,1614.0,0.0057,1.0,0,1,1
160,Febbraio,D5,rice_animal,approved,3,1626.2,1626.0,0.0001,0.0,0,1,0
161,Febbraio,D1,other,approved,2,1591.0,1612.0,-0.013,0.0,1,0,0
162,Febbraio,D2,plant_pasta,approved,6,1703.0,1709.0,-0.0035,0.0,0,1,1
163,Febbraio,D3,rice_animal,approved,2,1465.8,1467.0,-0.0008,1.6,0,1,0
164,Febbraio,D4,plant_rice,approved,5,1625.5,1614.0,0.0071,0.0,0,1,1
165,Febbraio,D5,pasta_animal,approved,3,1625.8,1626.0,-0.0001,0.0,1,1,0
166,Febbraio,D1,plant_pasta,approved,4,1545.0,1612.0,-0.0416,2.0,0,1,1
167,Febbraio,D2,rice_animal,approved,5,1774.3,1709.0,0.0382,0.0,1,1,0
168,Febbraio,D3,other,approved,3,1462.0,1467.0,-0.0034,0.0,0,0,0
169,Febbraio,D4,plant_pasta,approved,3,1585.7,1614.0,-0.0175,0.0,1,1,1
170,Febbraio,D5,rice_animal,approved,4,1640.1,1626.0,0.0087,0.0,0,1,0
171,Febbraio,D1,plant_rice,approved,5,1619.5,1612.0,0.0046,0.0,0,1,1
172,Febbraio,D2,pasta_animal,approved,4,1715.2,1709.0,0.0036,0.0,1,1,0
173,Febbraio,D3,plant_pasta,approved,3,1444.1,1467.0,-0.0156,0.0,0,1,1
174,Febbraio,D4,rice_animal,approved,3,1555.2,1614.0,-0.0364,1.6,1,1,0
175,Febbraio,D5,other,approved,5,1623.0,1626.0,-0.0019,0.0,0,0,0
176,Febbraio,D1,plant_pasta,approved,4,1619.7,1612.0,0.0048,0.0,1,1,1
177,Febbraio,D2,rice_animal,approved,5,1709.5,1709.0,0.0003,0.0,0,1,0
178,Febbraio,D3,plant_rice,approved,2,1445.3,1467.0,-0.0148,0.0,1,1,1
179,Febbraio,D4,pasta_animal,approved,5,1619.1,1614.0,0.0031,0.0,0,1,0
180,Febbraio,D5,plant_pasta,approved,4,1686.3,1626.0,0.0371,0.0,1,1,1
