global_day,month,day_type,energy_kcal,reference_kcal,delta_pct,status
99,Dicembre,D4,1610.2,1614.0,-0.0024,OK
100,Dicembre,D5,1627.78,1626.0,0.0011,OK
101,Dicembre,D1,1616.2,1612.0,0.0026,OK
102,Dicembre,D2,1718.97,1709.0,0.0058,OK
103,Dicembre,D3,1439.43,1467.0,-0.0188,OK
104,Dicembre,D4,1610.62,1614.0,-0.0021,OK
105,Dicembre,D5,1607.69,1626.0,-0.0113,OK
106,Dicembre,D1,1619.18,1612.0,0.0045,OK
107,Dicembre,D2,1718.19,1709.0,0.0054,OK
108,Dicembre,D3,1401.33,1467.0,-0.0448,OK
109,Dicembre,D4,1624.49,1614.0,0.0065,OK
110,Dicembre,D5,1619.1,1626.0,-0.0042,OK
111,Dicembre,D1,1620.77,1612.0,0.0054,OK
112,Dicembre,D2,1727.11,1709.0,0.0106,OK
113,Dicembre,D3,1512.78,1467.0,0.0312,OK
114,Dicembre,D4,1650.76,1614.0,0.0228,OK
115,Dicembre,D5,1613.07,1626.0,-0.008,OK
116,Dicembre,D1,1553.26,1612.0,-0.0364,OK
117,Dicembre,D2,1718.11,1709.0,0.0053,OK
118,Dicembre,D3,1473.71,1467.0,0.0046,OK
119,Dicembre,D4,1604.94,1614.0,-0.0056,OK
120,Dicembre,D5,1620.76,1626.0,-0.0032,OK
121,Gennaio,D1,1636.83,1612.0,0.0154,OK
122,Gennaio,D2,1711.81,1709.0,0.0016,OK
123,Gennaio,D3,1507.58,1467.0,0.0277,OK
124,Gennaio,D4,1603.91,1614.0,-0.0063,OK
125,Gennaio,D5,1626.0,1626.0,0.0,OK
126,Gennaio,D1,1595.51,1612.0,-0.0102,OK
127,Gennaio,D2,1702.6,1709.0,-0.0037,OK
128,Gennaio,D3,1465.64,1467.0,-0.0009,OK
129,Gennaio,D4,1621.57,1614.0,0.0047,OK
130,Gennaio,D5,1601.94,1626.0,-0.0148,OK
131,Gennaio,D1,1613.01,1612.0,0.0006,OK
132,Gennaio,D2,1701.43,1709.0,-0.0044,OK
133,Gennaio,D3,1465.84,1467.0,-0.0008,OK
134,Gennaio,D4,1613.21,1614.0,-0.0005,OK
135,Gennaio,D5,1624.8,1626.0,-0.0007,OK
136,Gennaio,D1,1536.77,1612.0,-0.0467,OK
137,Gennaio,D2,1718.4,1709.0,0.0055,OK
138,Gennaio,D3,1466.91,1467.0,-0.0001,OK
139,Gennaio,D4,1603.08,1614.0,-0.0068,OK
140,Gennaio,D5,1639.33,1626.0,0.0082,OK
141,Gennaio,D1,1615.82,1612.0,0.0024,OK
142,Gennaio,D2,1713.02,1709.0,0.0024,OK
143,Gennaio,D3,1399.91,1467.0,-0.0457,OK
144,Gennaio,D4,1666.17,1614.0,0.0323,OK
145,Gennaio,D5,1628.61,1626.0,0.0016,OK
146,Gennaio,D1,1615.18,1612.0,0.002,OK
147,Gennaio,D2,1712.14,1709.0,0.0018,OK
148,Gennaio,D3,1490.08,1467.0,0.0157,OK
149,Gennaio,D4,1657.62,1614.0,0.027,OK
150,Gennaio,D5,1585.11,1626.0,-0.0251,OK
151,Febbraio,D1,1652.84,1612.0,0.0253,OK
152,Febbraio,D2,1709.52,1709.0,0.0003,OK
153,Febbraio,D3,1430.64,1467.0,-0.0248,OK
154,Febbraio,D4,1542.08,1614.0,-0.0446,OK
155,Febbraio,D5,1629.61,1626.0,0.0022,OK
156,Febbraio,D1,1609.48,1612.0,-0.0016,OK
157,Febbraio,D2,1683.29,1709.0,-0.015,OK
158,Febbraio,D3,1412.64,1467.0,-0.0371,OK
159,Febbraio,D4,1616.21,1614.0,0.0014,OK
160,Febbraio,D5,1625.52,1626.0,-0.0003,OK
161,Febbraio,D1,1608.11,1612.0,-0.0024,OK
162,Febbraio,D2,1708.15,1709.0,-0.0005,OK
163,Febbraio,D3,1482.61,1467.0,0.0106,OK
164,Febbraio,D4,1625.51,1614.0,0.0071,OK
165,Febbraio,D5,1693.24,1626.0,0.0414,OK
166,Febbraio,D1,1613.65,1612.0,0.001,OK
167,Febbraio,D2,1702.02,1709.0,-0.0041,OK
168,Febbraio,D3,1461.98,1467.0,-0.0034,OK
169,Febbraio,D4,1614.84,1614.0,0.0005,OK
170,Febbraio,D5,1626.57,1626.0,0.0004,OK
171,Febbraio,D1,1619.45,1612.0,0.0046,OK
172,Febbraio,D2,1697.6,1709.0,-0.0067,OK
173,Febbraio,D3,1445.83,1467.0,-0.0144,OK
174,Febbraio,D4,1566.28,1614.0,-0.0296,OK
175,Febbraio,D5,1616.79,1626.0,-0.0057,OK
176,Febbraio,D1,1536.4,1612.0,-0.0469,OK
177,Febbraio,D2,1709.01,1709.0,0.0,OK
178,Febbraio,D3,1419.51,1467.0,-0.0324,OK
179,Febbraio,D4,1598.96,1614.0,-0.0093,OK
180,Febbraio,D5,1623.19,1626.0,-0.0017,OK
