start_day,end_day,dairy_portions,distinct_dairy_types,dairy_types,avocado_portions,avocado_total_g,status
99,105,3,2,"grana,mozzarella",2,150.0,OK
100,106,3,3,"feta,grana,mozzarella",2,150.0,OK
101,107,3,3,"feta,grana,mozzarella",2,150.0,OK
102,108,3,3,"feta,grana,mozzarella",2,150.0,OK
103,109,3,2,"feta,grana",2,150.0,OK
104,110,3,2,"feta,grana",2,150.0,OK
105,111,3,2,"feta,grana",2,150.0,OK
106,112,3,2,"feta,grana",2,150.0,OK
107,113,3,3,"feta,grana,primosale",2,150.0,OK
108,114,3,3,"feta,grana,primosale",2,150.0,OK
109,115,3,3,"feta,grana,primosale",2,150.0,OK
110,116,3,2,"grana,primosale",2,150.0,OK
111,117,3,2,"grana,primosale",2,150.0,OK
112,118,3,2,"grana,primosale",2,150.0,OK
113,119,3,2,"grana,primosale",2,150.0,OK
114,120,3,2,"grana,primosale",2,150.0,OK
115,121,3,2,"grana,primosale",2,150.0,OK
116,122,3,2,"grana,primosale",2,150.0,OK
117,123,3,2,"grana,primosale",2,150.0,OK
118,124,3,2,"grana,primosale",2,150.0,OK
119,125,3,2,"grana,primosale",2,150.0,OK
120,126,3,2,"grana,primosale",2,150.0,OK
121,127,3,3,"fiocchi_latte,grana,primosale",2,150.0,OK
122,128,3,3,"fiocchi_latte,grana,primosale",2,150.0,OK
123,129,3,3,"fiocchi_latte,grana,primosale",2,150.0,OK
124,130,3,2,"fiocchi_latte,grana",2,150.0,OK
125,131,3,2,"fiocchi_latte,grana",2,150.0,OK
126,132,3,2,"fiocchi_latte,grana",2,150.0,OK
127,133,3,2,"fiocchi_latte,grana",2,150.0,OK
128,134,3,3,"fiocchi_latte,grana,robiola",2,150.0,OK
129,135,3,3,"fiocchi_latte,grana,robiola",2,150.0,OK
130,136,3,3,"fiocchi_latte,grana,robiola",2,150.0,OK
131,137,3,2,"grana,robiola",2,150.0,OK
132,138,3,2,"grana,robiola",2,150.0,OK
133,139,3,2,"grana,robiola",2,150.0,OK
134,140,3,2,"grana,robiola",2,150.0,OK
135,141,3,3,"grana,mozzarella,robiola",2,150.0,OK
136,142,3,3,"grana,mozzarella,robiola",2,150.0,OK
137,143,3,3,"grana,mozzarella,robiola",2,150.0,OK
138,144,3,2,"grana,mozzarella",2,150.0,OK
139,145,3,2,"grana,mozzarella",2,150.0,OK
140,146,3,2,"grana,mozzarella",2,150.0,OK
141,147,3,2,"grana,mozzarella",2,150.0,OK
142,148,3,3,"feta,grana,mozzarella",2,150.0,OK
143,149,3,3,"feta,grana,mozzarella",2,150.0,OK
144,150,3,3,"feta,grana,mozzarella",2,150.0,OK
145,151,3,2,"feta,grana",2,150.0,OK
146,152,3,2,"feta,grana",2,150.0,OK
147,153,3,2,"feta,grana",2,150.0,OK
148,154,3,2,"feta,grana",2,150.0,OK
149,155,3,3,"feta,fiocchi_latte,grana",2,150.0,OK
150,156,3,3,"feta,fiocchi_latte,grana",2,150.0,OK
151,157,3,3,"feta,fiocchi_latte,grana",2,150.0,OK
152,158,3,2,"fiocchi_latte,grana",2,150.0,OK
153,159,3,2,"fiocchi_latte,grana",2,150.0,OK
154,160,3,2,"fiocchi_latte,grana",2,150.0,OK
155,161,3,2,"fiocchi_latte,grana",2,150.0,OK
156,162,3,3,"fiocchi_latte,grana,ricotta",2,150.0,OK
157,163,3,3,"fiocchi_latte,grana,ricotta",2,150.0,OK
158,164,3,3,"fiocchi_latte,grana,ricotta",2,150.0,OK
159,165,3,2,"grana,ricotta",2,150.0,OK
160,166,3,2,"grana,ricotta",2,150.0,OK
161,167,3,2,"grana,ricotta",2,150.0,OK
162,168,3,2,"grana,ricotta",2,150.0,OK
163,169,3,2,"grana,ricotta",2,150.0,OK
164,170,3,2,"grana,ricotta",2,150.0,OK
165,171,3,2,"grana,ricotta",2,150.0,OK
166,172,3,2,"grana,ricotta",2,150.0,OK
167,173,3,2,"grana,ricotta",2,150.0,OK
168,174,3,2,"grana,ricotta",2,150.0,OK
169,175,3,2,"grana,ricotta",2,150.0,OK
170,176,3,3,"grana,primosale,ricotta",2,150.0,OK
171,177,3,3,"grana,primosale,ricotta",2,150.0,OK
172,178,3,3,"grana,primosale,ricotta",2,150.0,OK
173,179,3,2,"grana,primosale",2,150.0,OK
174,180,3,2,"grana,primosale",2,150.0,OK
