global_day,month,day_type,meal_id,meal_type,time,recipe_id,recipe_title,ingredient_code,ingredient_name,allowed_months
97,Dicembre,D2,base:meal:097:01,Colazione,09:00,base:recipe:pane-bianco-con-mozzarella-e-pomodoro,Pane bianco con mozzarella e pomodoro,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
99,Dicembre,D4,base:meal:099:05,Cena,20:30,base:recipe:poke-tiepido-con-salmone-e-zucca,Poke tiepido con salmone e zucca,cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
109,Dicembre,D4,base:meal:109:04,Spuntino,17:30,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
115,Dicembre,D5,base:meal:115:02,Spuntino,11:00,base:recipe:mozzarella-e-pomodorini,Mozzarella e pomodorini,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
119,Dicembre,D4,base:meal:119:01,Colazione,08:00,base:recipe:toast-francese-con-primosale-e-pomodoro,Toast francese con primosale e pomodoro,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
125,Gennaio,D5,base:meal:125:01,Colazione,08:00,base:recipe:pane-bianco-con-mozzarella-e-pomodoro,Pane bianco con mozzarella e pomodoro,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
125,Gennaio,D5,base:meal:125:04,Spuntino,17:30,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
126,Gennaio,D1,base:meal:126:02,Spuntino,10:30,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
131,Gennaio,D1,base:meal:131:01,Colazione,06:30,base:recipe:pane-bianco-con-mozzarella-e-pomodoro,Pane bianco con mozzarella e pomodoro,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
131,Gennaio,D1,base:meal:131:03,Pranzo,13:30,base:recipe:risotto-delicato-con-funghi-e-sedano-rapa,Risotto delicato con funghi e sedano rapa,funghi,funghi,"[9, 10, 11]"
131,Gennaio,D1,base:meal:131:04,Spuntino,17:30,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
138,Gennaio,D3,base:meal:138:03,Cena,21:00,base:recipe:tortilla-spagnola-leggera-con-zucchine,Tortilla spagnola leggera con zucchine,zucchina,zucchine,"[5, 6, 7, 8, 9, 10]"
143,Gennaio,D3,base:meal:143:03,Cena,21:00,base:recipe:risotto-delicato-con-funghi-e-carciofi,Risotto delicato con funghi e carciofi,funghi,funghi,"[9, 10, 11]"
145,Gennaio,D5,base:meal:145:03,Pranzo,13:30,base:recipe:tortilla-spagnola-leggera-con-zucchine,Tortilla spagnola leggera con zucchine,zucchina,zucchine,"[5, 6, 7, 8, 9, 10]"
147,Gennaio,D2,base:meal:147:05,Spuntino notturno,03:30,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
147,Gennaio,D2,base:meal:147:06,Mini-pasto pre-sonno,08:20,base:recipe:mozzarella-e-pomodorini,Mozzarella e pomodorini,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
152,Febbraio,D2,base:meal:152:06,Mini-pasto pre-sonno,08:20,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
153,Febbraio,D3,base:meal:153:02,Spuntino,18:30,base:recipe:mozzarella-e-pomodorini,Mozzarella e pomodorini,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
159,Febbraio,D4,base:meal:159:01,Colazione,08:00,base:recipe:pane-bianco-con-mozzarella-e-pomodoro,Pane bianco con mozzarella e pomodoro,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
159,Febbraio,D4,base:meal:159:05,Cena,20:30,base:recipe:tortilla-spagnola-leggera-con-zucchine,Tortilla spagnola leggera con zucchine,zucchina,zucchine,"[5, 6, 7, 8, 9, 10]"
162,Febbraio,D2,base:meal:162:01,Colazione,09:00,base:recipe:pane-bianco-con-mozzarella-e-pomodoro,Pane bianco con mozzarella e pomodoro,pomodoro,pomodori,"[6, 7, 8, 9, 10]"
164,Febbraio,D4,base:meal:164:05,Cena,20:30,base:recipe:poke-tiepido-con-salmone-e-carote,Poke tiepido con salmone e carote,cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
169,Febbraio,D4,base:meal:169:02,Spuntino,11:00,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
174,Febbraio,D4,base:meal:174:04,Spuntino,17:30,base:recipe:feta-cetriolo-e-crackers,"Feta, cetriolo e crackers",cetriolo,cetriolo senza buccia e semi,"[6, 7, 8, 9]"
