start_global_day,end_global_day,start_month,end_month,egg_equivalent_units,egg_limit,dairy_meals,dairy_limit,pasta_rice_primary_meals,pasta_primary_meals,rice_primary_meals,pasta_rice_min,plant_protein_main_meals,plant_protein_min,hard_ok,hard_failures,protein_concentration_warnings,ingredient_concentration_warnings,pasta_rice_balance_warnings
11,17,Settembre,Settembre,21.6,6.0,23,4,5,1,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 8}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""zucchina"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
12,18,Settembre,Settembre,23.2,6.0,22,4,4,1,3,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 5, ""ingredient_code"": ""zucchina"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
13,19,Settembre,Settembre,23.2,6.0,21,4,5,1,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 3, ""ingredient_code"": ""ricotta"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
14,20,Settembre,Settembre,20.6,6.0,20,4,6,1,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 8}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 3, ""ingredient_code"": ""ricotta"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
15,21,Settembre,Settembre,26.2,6.0,19,4,6,1,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""eggs"", ""share"": 0.4615}]","[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 5, ""ingredient_code"": ""grana"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
16,22,Settembre,Settembre,22.8,6.0,19,4,5,1,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 8}, {""distinct_days"": 4, ""ingredient_code"": ""crackers"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 3, ""ingredient_code"": ""ricotta"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
17,23,Settembre,Settembre,25.2,6.0,16,4,6,1,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 8}, {""distinct_days"": 4, ""ingredient_code"": ""crackers"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 3, ""ingredient_code"": ""ricotta"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
18,24,Settembre,Settembre,23.6,6.0,13,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
19,25,Settembre,Settembre,25.6,6.0,15,4,6,0,6,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 7}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
20,26,Settembre,Settembre,32.2,6.0,16,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 7, ""group"": ""eggs"", ""share"": 0.5385}]","[{""distinct_days"": 7, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 5, ""ingredient_code"": ""patata"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 6}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 7}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
21,27,Settembre,Settembre,34.2,6.0,17,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 8, ""group"": ""eggs"", ""share"": 0.5714}]","[{""distinct_days"": 7, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 6}, {""distinct_days"": 3, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 11}, {""distinct_days"": 6, ""ingredient_code"": ""patata"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 6}, {""distinct_days"": 6, ""ingredient_code"": ""uovo"", ""meal_count"": 8}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
22,28,Settembre,Settembre,31.4,6.0,15,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""eggs"", ""share"": 0.4286}]","[{""distinct_days"": 7, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 6, ""ingredient_code"": ""patata"", ""meal_count"": 6}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
23,29,Settembre,Settembre,31.0,6.0,13,4,7,0,7,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""eggs"", ""share"": 0.4286}]","[{""distinct_days"": 7, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 5, ""ingredient_code"": ""patata"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 6}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
24,30,Settembre,Settembre,27.0,6.0,12,4,6,0,6,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 7, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""mela"", ""meal_count"": 6}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 5, ""ingredient_code"": ""patata"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
25,31,Settembre,Ottobre,32.2,6.0,12,4,6,1,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 7, ""group"": ""eggs"", ""share"": 0.5385}]","[{""distinct_days"": 7, ""ingredient_code"": ""albume"", ""meal_count"": 10}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 6, ""ingredient_code"": ""patata"", ""meal_count"": 6}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
26,32,Settembre,Ottobre,28.6,6.0,13,4,5,1,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""eggs"", ""share"": 0.4615}]","[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 5, ""ingredient_code"": ""patata"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
27,33,Settembre,Ottobre,27.8,6.0,11,4,6,1,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 5, ""ingredient_code"": ""patata"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
28,34,Settembre,Ottobre,27.8,6.0,12,4,7,2,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]",[]
29,35,Settembre,Ottobre,23.0,6.0,14,4,7,2,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 7}, {""distinct_days"": 4, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]",[]
30,36,Settembre,Ottobre,20.8,6.0,14,4,7,2,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 4, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]",[]
31,37,Ottobre,Ottobre,20.2,6.0,16,4,7,2,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 3, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 11}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]",[]
32,38,Ottobre,Ottobre,14.0,6.0,15,4,7,1,6,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 4, ""ingredient_code"": ""mela"", ""meal_count"": 6}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 11}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
33,39,Ottobre,Ottobre,17.6,6.0,13,4,8,1,7,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4286}]","[{""distinct_days"": 3, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 6, ""ingredient_code"": ""uovo"", ""meal_count"": 7}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
34,40,Ottobre,Ottobre,10.8,6.0,14,4,8,1,7,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4615}]","[{""distinct_days"": 3, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
35,41,Ottobre,Ottobre,7.2,6.0,15,4,8,0,8,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 8, ""group"": ""poultry"", ""share"": 0.6154}]","[{""distinct_days"": 4, ""ingredient_code"": ""mela"", ""meal_count"": 7}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 5, ""ingredient_code"": ""zucchina"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
36,42,Ottobre,Ottobre,7.2,6.0,14,4,8,0,8,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 8, ""group"": ""poultry"", ""share"": 0.6154}]","[{""distinct_days"": 3, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 5, ""ingredient_code"": ""zucchina"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
37,43,Ottobre,Ottobre,6.8,6.0,15,4,7,0,7,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 8, ""group"": ""poultry"", ""share"": 0.6154}]","[{""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
38,44,Ottobre,Ottobre,11.0,6.0,15,4,8,0,8,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 9, ""group"": ""poultry"", ""share"": 0.6923}]","[{""distinct_days"": 4, ""ingredient_code"": ""melagrana"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 6}, {""distinct_days"": 5, ""ingredient_code"": ""pollo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
39,45,Ottobre,Ottobre,12.0,6.0,16,4,8,0,8,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 9, ""group"": ""poultry"", ""share"": 0.6923}]","[{""distinct_days"": 4, ""ingredient_code"": ""melagrana"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 6}, {""distinct_days"": 6, ""ingredient_code"": ""pollo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
40,46,Ottobre,Ottobre,11.6,6.0,18,4,8,1,7,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 9, ""group"": ""poultry"", ""share"": 0.6923}]","[{""distinct_days"": 3, ""ingredient_code"": ""grana"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pollo"", ""meal_count"": 7}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
41,47,Ottobre,Ottobre,16.8,6.0,20,4,9,2,7,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 8, ""group"": ""poultry"", ""share"": 0.5714}]","[{""distinct_days"": 4, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""finocchio"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""grana"", ""meal_count"": 6}, {""distinct_days"": 3, ""ingredient_code"": ""mela"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pollo"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""robiola"", ""meal_count"": 5}]",[]
42,48,Ottobre,Ottobre,18.4,6.0,18,4,8,2,6,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 7, ""group"": ""poultry"", ""share"": 0.5}]","[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""banana"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pollo"", ""meal_count"": 6}, {""distinct_days"": 5, ""ingredient_code"": ""primosale"", ""meal_count"": 5}]",[]
43,49,Ottobre,Ottobre,20.4,6.0,18,4,7,2,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4286}]","[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 5, ""ingredient_code"": ""pollo"", ""meal_count"": 5}]",[]
44,50,Ottobre,Ottobre,20.4,6.0,17,4,6,2,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4615}]","[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}]",[]
